q q_max q_time hits q_time/hits k 
1 31 62.555385 1 62.555385 639999937
2 31 137.585720 2 68.792860 1280143937
3 31 215.801722 3 71.933907 1920680577
4 31 372.181579 5 74.436316 3202848769
5 31 457.105668 6 76.184278 3842633345
6 31 618.493554 8 77.311694 5123004225
7 31 708.973707 9 78.774856 5761338625
8 31 887.413477 11 80.673952 7043737665
9 31 1081.141704 13 83.164746 8334609281
10 31 1166.108829 14 83.293488 8970809729
11 31 1352.677663 16 84.542354 10248831233
12 31 1539.513663 18 85.528537 11529823937
13 31 1656.566587 19 87.187715 12171807553
14 31 1821.544174 21 86.740199 13452005761
15 31 2011.837859 23 87.471211 14731823297
16 31 2193.071827 25 87.722873 16024032833
17 31 2356.347835 26 90.628763 16656366913
18 31 2574.113716 28 91.932633 17942375233
19 31 2764.900107 30 92.163337 19297236225
20 31 2947.838407 32 92.119950 20499696129
21 31 3137.740723 34 92.286492 21828061825
22 31 3371.016676 36 93.639352 23057310145
23 31 3663.911537 38 96.418725 24435055489
24 31 3708.281676 40 92.707042 25667604737
25 31 3939.249593 42 93.791657 26968959425
26 31 4178.055472 44 94.955806 28186800257
27 31 4505.612804 46 97.948104 29471767041
28 31 4748.376969 48 98.924520 30819782401
29 31 4916.482320 50 98.329646 32066526721
30 31 5006.783892 52 96.284306 33331002113
31 31 5284.485085 53 99.707266 34020186369
73385.8
