q q_max q_time hits q_time/hits k 
1 31 67.760293 1 67.760293 639999937
2 31 140.452851 2 70.226425 1280149889
3 31 216.375909 3 72.125303 1920370561
4 31 373.438782 5 74.687756 3202221697
5 31 461.432238 6 76.905373 3841240577
6 31 626.169795 8 78.271224 5122806849
7 31 720.267462 9 80.029718 5764486145
8 31 897.085166 11 81.553197 7046808961
9 31 1075.908972 13 82.762229 8330691393
10 31 1179.708911 14 84.264922 8966845697
11 31 1371.738217 16 85.733639 10249540097
12 31 1550.041959 18 86.113442 11526902657
13 31 1651.646305 19 86.928753 12171438529
14 31 1851.676473 21 88.175070 13444418561
15 31 2050.297307 23 89.143361 14729564545
16 31 2237.325703 25 89.493028 16052255105
17 31 2366.879467 26 91.033826 16650794561
18 31 2573.875068 28 91.924110 17933266369
19 31 2750.259513 30 91.675317 19217182913
20 31 2957.000030 32 92.406251 20508559489
21 31 3153.837806 34 92.759935 21783202305
22 31 3350.606806 36 93.072411 23125207425
23 31 3567.688500 38 93.886539 24348988417
24 31 3765.810340 40 94.145258 25628421505
25 31 3977.272994 42 94.696976 26945992001
26 31 4184.785181 44 95.108754 28201558273
27 31 4532.393304 46 98.530289 29525764737
28 31 4630.313020 48 96.464855 30750667649
29 31 4966.966659 50 99.339333 32086569409
30 31 5045.946115 52 97.037425 33340279425
31 31 5067.959340 53 95.621874 33973392833
73362.9
