q q_max q_time hits q_time/hits k 
1 31 61.371303 1 61.371303 639999937
2 31 129.057711 2 64.528855 1280273025
3 31 202.462170 3 67.487390 1920743169
4 31 349.831699 5 69.966340 3201026817
5 31 433.052695 6 72.175449 3840961921
6 31 583.959284 8 72.994911 5126730881
7 31 667.201189 9 74.133465 5763417089
8 31 839.171490 11 76.288317 7046238273
9 31 1031.548848 13 79.349911 8328158337
10 31 1106.276645 14 79.019760 8966577409
11 31 1291.086580 16 80.692911 10246673793
12 31 1468.002610 18 81.555701 11531395521
13 31 1576.845050 19 82.991845 12170629889
14 31 1731.373817 21 82.446372 13452345985
15 31 1912.801835 23 83.165297 14731230465
16 31 2083.163460 25 83.326538 16049230849
17 31 2225.512524 26 85.596636 16660758401
18 31 2463.190705 28 87.971097 17939966273
19 31 2645.197248 30 88.173242 19218079297
20 31 2814.253374 32 87.945418 20499763137
21 31 3011.619100 34 88.577032 21784021761
22 31 3217.062682 36 89.362852 23096841025
23 31 3424.736752 38 90.124651 24388564481
24 31 3609.035791 40 90.225895 25620867201
25 31 3848.149476 42 91.622607 26964275905
26 31 3944.416123 44 89.645821 28190801793
27 31 4315.607567 46 93.817556 29553860033
28 31 4428.473347 48 92.259861 30740259777
29 31 4619.033292 50 92.380666 32042955713
30 31 4772.213446 52 91.773336 33340576897
31 31 4929.394815 53 93.007449 33985505985
69735.1
