q q_max q_time hits q_time/hits k 
1 31 67.766604 1 67.766604 639999937
2 31 137.667434 2 68.833717 1280336577
3 31 213.983389 3 71.327796 1920480001
4 31 366.868997 5 73.373799 3202949057
5 31 455.920621 6 75.986770 3841691265
6 31 621.197432 8 77.649679 5123571905
7 31 710.955567 9 78.995063 5762699137
8 31 883.677970 11 80.334361 7048439041
9 31 1068.137845 13 82.164450 8327807745
10 31 1164.163543 14 83.154539 8964621121
11 31 1352.022262 16 84.501391 10251497601
12 31 1536.124922 18 85.340273 11548976577
13 31 1642.673165 19 86.456482 12175003009
14 31 1833.852767 21 87.326322 13455683073
15 31 2024.806137 23 88.035049 14734932161
16 31 2216.068467 25 88.642739 16016113409
17 31 2341.564971 26 90.060191 16673750849
18 31 2553.653634 28 91.201915 17933190977
19 31 2744.631189 30 91.487706 19219233089
20 31 2972.178677 32 92.880584 20508143233
21 31 3157.676663 34 92.872843 21787961025
22 31 3382.648751 36 93.962465 23057677761
23 31 3672.925125 38 96.655924 24428973377
24 31 3880.597325 40 97.014933 25640090497
25 31 4120.963124 42 98.118170 26954613761
26 31 4342.048369 44 98.682917 28237755009
27 31 4555.957100 46 99.042546 29470562881
28 31 4929.049839 48 102.688538 30839454209
29 31 5117.949131 50 102.358983 32055108865
30 31 5143.451223 52 98.912524 33322232705
31 31 5062.984183 53 95.528003 33998929921
74274.2
