q q_max q_time hits q_time/hits k 
1 31 67.376336 1 67.376336 639999937
2 31 140.084962 2 70.042481 1280008641
3 31 213.459857 3 71.153286 1921104257
4 31 369.313258 5 73.862652 3200978561
5 31 450.704272 6 75.117379 3844616897
6 31 613.208660 8 76.651083 5123900865
7 31 706.889809 9 78.543312 5766667649
8 31 875.431056 11 79.584641 7043639105
9 31 1056.845238 13 81.295788 8328709761
10 31 1155.092618 14 82.506616 8972581505
11 31 1343.027667 16 83.939229 10265513665
12 31 1527.752137 18 84.875119 11537187393
13 31 1628.210118 19 85.695269 12171714305
14 31 1821.134827 21 86.720706 13449494017
15 31 2007.054010 23 87.263218 14735079681
16 31 2204.042436 25 88.161697 16034113473
17 31 2333.029747 26 89.731913 16654960577
18 31 2542.521229 28 90.804330 17943790465
19 31 2743.802945 30 91.460098 19211530817
20 31 2950.959194 32 92.217475 20493951809
21 31 3168.327156 34 93.186093 21791591297
22 31 3349.855471 36 93.051541 23087398529
23 31 3576.074404 38 94.107221 24335248193
24 31 3732.168387 40 93.304210 25621343489
25 31 4145.545233 42 98.703458 26949039233
26 31 4197.790148 44 95.404322 28204066241
27 31 4528.764492 46 98.451402 29490073409
28 31 4755.498172 48 99.072879 30763335745
29 31 4807.566386 50 96.151328 32043580929
30 31 5219.295819 52 100.371073 33343221505
31 31 5315.874722 53 100.299523 34015885249
73546.7
