q q_max q_time hits q_time/hits k 
1 31 63.316487 1 63.316487 639999937
2 31 132.148654 2 66.074327 1280152705
3 31 200.351657 3 66.783886 1920440065
4 31 345.949938 5 69.189988 3201816513
5 31 425.575267 6 70.929211 3845490561
6 31 576.749388 8 72.093673 5125825345
7 31 679.350217 9 75.483357 5763515201
8 31 844.740819 11 76.794620 7045614465
9 31 1033.830705 13 79.525439 8325017089
10 31 1129.742010 14 80.695858 8966952385
11 31 1326.583183 16 82.911449 10244646849
12 31 1473.161434 18 81.842302 11527302465
13 31 1582.094840 19 83.268149 12173773569
14 31 1725.904836 21 82.185945 13448943745
15 31 1909.087019 23 83.003783 14764060609
16 31 2101.505700 25 84.060228 16102511041
17 31 2259.035424 26 86.885978 16678550913
18 31 2440.510395 28 87.161086 17941157441
19 31 2671.900671 30 89.063356 19215685697
20 31 2799.154357 32 87.473574 20511826561
21 31 2975.597988 34 87.517588 21782948353
22 31 3187.744064 36 88.548446 23063691713
23 31 3377.538960 38 88.882604 24344898689
24 31 3742.822913 40 93.570573 25641669697
25 31 4017.923688 42 95.664850 26912303041
26 31 4234.703973 44 96.243272 28200064641
27 31 4447.431892 46 96.683302 29491974657
28 31 4764.185088 48 99.253856 30750423553
29 31 5002.590508 50 100.051810 32111353729
30 31 5158.871403 52 99.209065 33380907393
31 31 5292.980628 53 99.867559 33990960641
71923.1
