q q_max q_time hits q_time/hits k 
1 31 66.806481 1 66.806481 639999937
2 31 141.341609 2 70.670805 1280188737
3 31 212.946299 3 70.982100 1921284929
4 31 367.083847 5 73.416769 3202534273
5 31 454.453788 6 75.742298 3841088449
6 31 612.677803 8 76.584725 5124565697
7 31 703.699840 9 78.188871 5765798465
8 31 875.683136 11 79.607558 7050556673
9 31 1063.369540 13 81.797657 8325484545
10 31 1161.163021 14 82.940216 8967277121
11 31 1343.112033 16 83.944502 10258035073
12 31 1532.017496 18 85.112083 11550618753
13 31 1638.838747 19 86.254671 12172392129
14 31 1827.390096 21 87.018576 13464982465
15 31 2021.147068 23 87.875959 14768267457
16 31 2214.905640 25 88.596226 16036410817
17 31 2340.448125 26 90.017236 16664024705
18 31 2551.969413 28 91.141765 17939456001
19 31 2752.340826 30 91.744694 19219114433
20 31 2962.493781 32 92.577931 20499762049
21 31 3171.297628 34 93.273460 21860416641
22 31 3390.231399 36 94.173094 23059267713
23 31 3603.775354 38 94.836194 24369463041
24 31 3774.126608 40 94.353165 25622356481
25 31 4039.220896 42 96.171926 26907286785
26 31 4385.265892 44 99.665134 28223074497
27 31 4564.894690 46 99.236841 29506963073
28 31 4793.443900 48 99.863415 30799308225
29 31 4933.995552 50 98.679911 32028667073
30 31 5134.410273 52 98.738659 33357152705
31 31 5222.220416 53 98.532461 33996364673
73856.8
