q q_max q_time hits q_time/hits k 
1 31 67.153788 1 67.153788 639999937
2 31 142.413089 2 71.206544 1280441217
3 31 212.606182 3 70.868727 1920599297
4 31 366.257961 5 73.251592 3204561217
5 31 458.799210 6 76.466535 3843071233
6 31 615.552470 8 76.944059 5125759745
7 31 710.510057 9 78.945562 5764541249
8 31 878.382784 11 79.852980 7044419777
9 31 1062.485910 13 81.729685 8325863553
10 31 1159.995557 14 82.856825 8966362881
11 31 1347.067085 16 84.191693 10262290177
12 31 1532.250421 18 85.125023 11529890817
13 31 1637.190873 19 86.167941 12194207041
14 31 1828.082277 21 87.051537 13463819969
15 31 2023.103046 23 87.961002 14739859009
16 31 2222.920117 25 88.916805 16089251137
17 31 2367.193444 26 91.045902 16668422785
18 31 2562.863378 28 91.530835 17967902849
19 31 2764.315498 30 92.143850 19270081665
20 31 2967.436463 32 92.732389 20532272385
21 31 3184.579622 34 93.664107 21803074369
22 31 3395.444079 36 94.317891 23079520513
23 31 3598.184236 38 94.689059 24396287681
24 31 3747.190090 40 93.679752 25656107841
25 31 4077.851059 42 97.091692 26904229313
26 31 4277.627393 44 97.218804 28208720705
27 31 4532.586655 46 98.534492 29476797377
28 31 4780.553369 48 99.594862 30840080001
29 31 4975.721453 50 99.514429 32033611265
30 31 5061.424086 52 97.335079 33318394497
31 31 5255.107545 53 99.152973 34001095233
73812.8
