q q_max q_time hits q_time/hits k 
1 31 63.431149 1 63.431149 639999937
2 31 133.618753 2 66.809376 1280303105
3 31 202.000812 3 67.333604 1920249025
4 31 347.748766 5 69.549753 3201508033
5 31 429.185290 6 71.530882 3842685377
6 31 580.761912 8 72.595239 5121983489
7 31 669.479793 9 74.386644 5764955777
8 31 838.270725 11 76.206430 7045674433
9 31 1032.665582 13 79.435814 8326224065
10 31 1120.610549 14 80.043611 8973394945
11 31 1334.235957 16 83.389747 10248765377
12 31 1473.587645 18 81.865980 11547738689
13 31 1595.679663 19 83.983140 12183054209
14 31 1727.666161 21 82.269817 13476175361
15 31 1907.835570 23 82.949373 14735856769
16 31 2092.661367 25 83.706455 16085519489
17 31 2249.438763 26 86.516875 16649389697
18 31 2433.945975 28 86.926642 17936077441
19 31 2671.531809 30 89.051060 19217357633
20 31 2806.021079 32 87.688159 20507386433
21 31 2980.050214 34 87.648536 21850993921
22 31 3178.441296 36 88.290036 23065152961
23 31 3359.903495 38 88.418513 24376573313
24 31 3738.086883 40 93.452172 25778254785
25 31 4006.516158 42 95.393242 26905922177
26 31 4383.882812 44 99.633700 28324290881
27 31 4588.755210 46 99.755548 29540937601
28 31 4771.523949 48 99.406749 30835377793
29 31 5007.014513 50 100.140290 32200722817
30 31 5039.597166 52 96.915330 33325326657
31 31 5250.051835 53 99.057582 33954811009
72014.2
