q q_max q_time hits q_time/hits k 
1 31 66.640631 1 66.640631 639999937
2 31 136.927759 2 68.463879 1280277313
3 31 214.106241 3 71.368747 1921264129
4 31 368.433097 5 73.686619 3203289153
5 31 453.321380 6 75.553563 3841205313
6 31 615.536239 8 76.942030 5122424833
7 31 705.319391 9 78.368821 5764279489
8 31 875.652207 11 79.604746 7042936129
9 31 1059.674134 13 81.513395 8326180289
10 31 1159.924184 14 82.851727 8963579265
11 31 1343.605416 16 83.975338 10250480833
12 31 1530.735753 18 85.040875 11529611329
13 31 1635.142798 19 86.060147 12170968257
14 31 1824.714356 21 86.891160 13488831809
15 31 2021.797899 23 87.904256 14790125505
16 31 2213.166800 25 88.526672 16016067201
17 31 2332.073538 26 89.695136 16658042433
18 31 2544.066361 28 90.859513 17929949313
19 31 2746.160250 30 91.538675 19215329857
20 31 2954.983742 32 92.343242 20507353665
21 31 3163.798139 34 93.052886 21816644929
22 31 3364.317160 36 93.453254 23101878977
23 31 3573.326673 38 94.034912 24372084161
24 31 3724.723675 40 93.118092 25626348481
25 31 4028.848157 42 95.924956 26932281345
26 31 4204.138688 44 95.548607 28187597889
27 31 4566.936609 46 99.281231 29518778113
28 31 4617.436536 48 96.196595 30752076865
29 31 4830.927440 50 96.618549 32034505665
30 31 5116.036358 52 98.385315 33348518593
31 31 5164.485887 53 97.443130 33949990081
73157
