q q_max q_time hits q_time/hits k 
1 31 60.818246 1 60.818246 639999937
2 31 134.467314 2 67.233657 1280195521
3 31 202.722813 3 67.574271 1920081409
4 31 349.768539 5 69.953708 3201226433
5 31 433.043748 6 72.173958 3841473345
6 31 581.839144 8 72.729893 5125140673
7 31 668.085335 9 74.231704 5762165889
8 31 840.662899 11 76.423900 7044810689
9 31 1026.706305 13 78.977408 8324048705
10 31 1112.185966 14 79.441855 8967207233
11 31 1293.174871 16 80.823429 10247972417
12 31 1468.945866 18 81.608104 11551412417
13 31 1574.811864 19 82.884835 12172183489
14 31 1730.342717 21 82.397272 13450356609
15 31 1912.756436 23 83.163323 14736577985
16 31 2086.795192 25 83.471808 16019723073
17 31 2226.606744 26 85.638721 16655825793
18 31 2472.028943 28 88.286748 18005207105
19 31 2644.121625 30 88.137387 19256087425
20 31 2826.406255 32 88.325195 20602582849
21 31 3009.350203 34 88.510300 21870711361
22 31 3220.107394 36 89.447428 23082127809
23 31 3409.850581 38 89.732910 24367973313
24 31 3624.840542 40 90.621014 25730421825
25 31 3783.099100 42 90.073788 26916110529
26 31 4105.289754 44 93.302040 28291698241
27 31 4334.437839 46 94.226910 29630172737
28 31 4469.586871 48 93.116393 30777660545
29 31 4615.828592 50 92.316572 32039787329
30 31 4842.200939 52 93.119249 33335314817
31 31 4999.244171 53 94.325362 34028797377
70060.1
