q q_max q_time hits q_time/hits k 
1 31 63.666186 1 63.666186 639999937
2 31 133.956065 2 66.978032 1280455937
3 31 201.135741 3 67.045247 1920759361
4 31 346.034995 5 69.206999 3201363457
5 31 425.055237 6 70.842540 3846054209
6 31 575.573774 8 71.946722 5125407041
7 31 665.289650 9 73.921072 5762684417
8 31 825.401076 11 75.036461 7047859841
9 31 995.953167 13 76.611782 8325730945
10 31 1086.976171 14 77.641155 8965970945
11 31 1262.146342 16 78.884146 10256786177
12 31 1437.137272 18 79.840960 11529764289
13 31 1535.973884 19 80.840731 12179093633
14 31 1714.734040 21 81.654002 13457189889
15 31 1892.917267 23 82.300751 14756438017
16 31 2078.063405 25 83.122536 16040188609
17 31 2197.947395 26 84.536438 16650850625
18 31 2395.927794 28 85.568850 17931673473
19 31 2610.724193 30 87.024140 19261072577
20 31 2776.428842 32 86.763401 20501952577
21 31 2970.309353 34 87.362040 21851932865
22 31 3231.751228 36 89.770867 23057886593
23 31 3437.925828 38 90.471732 24336513729
24 31 3557.150223 40 88.928756 25630406849
25 31 3744.006348 42 89.143008 26986279425
26 31 4046.990043 44 91.977046 28224548161
27 31 4200.595281 46 91.317289 29493548673
28 31 4383.061190 48 91.313775 30759730177
29 31 4699.995902 50 93.999918 32067901889
30 31 4816.127086 52 92.617829 33312012289
31 31 5016.627202 53 94.653343 33984371521
69325.6
