q q_max q_time hits q_time/hits k 
1 31 67.505027 1 67.505027 639999937
2 31 143.009354 2 71.504677 1280441601
3 31 214.223098 3 71.407699 1920636737
4 31 369.736339 5 73.947268 3201391105
5 31 455.403428 6 75.900571 3842040001
6 31 615.178308 8 76.897289 5127640641
7 31 704.565382 9 78.285042 5764504257
8 31 878.036063 11 79.821460 7048394945
9 31 1061.660158 13 81.666166 8323937089
10 31 1157.814200 14 82.701014 8966708993
11 31 1341.043585 16 83.815224 10248797697
12 31 1531.951902 18 85.108439 11552867201
13 31 1634.384511 19 86.020237 12168287041
14 31 1820.822747 21 86.705845 13456103233
15 31 2015.460805 23 87.628731 14731371649
16 31 2199.071769 25 87.962871 16017475521
17 31 2356.932747 26 90.651259 16672838529
18 31 2543.940029 28 90.855001 17937292417
19 31 2746.891939 30 91.563065 19218046913
20 31 2951.969444 32 92.249045 20561689473
21 31 3176.325110 34 93.421327 21796221441
22 31 3367.136253 36 93.531563 23076037057
23 31 3569.565453 38 93.935933 24347727745
24 31 3726.388320 40 93.159708 25647162625
25 31 4091.859656 42 97.425230 26948051009
26 31 4206.635393 44 95.605350 28189893633
27 31 4559.945898 46 99.129259 29509227905
28 31 4661.665163 48 97.118024 30785341697
29 31 4808.201133 50 96.164023 32027048897
30 31 5094.022824 52 97.961977 33311030721
31 31 5210.627813 53 98.313732 33949269825
73282
