q q_max q_time hits q_time/hits k 
1 31 67.126601 1 67.126601 639999937
2 31 137.083106 2 68.541553 1280300161
3 31 213.409676 3 71.136559 1921152449
4 31 367.268384 5 73.453677 3203843393
5 31 452.972763 6 75.495460 3840995073
6 31 613.597701 8 76.699713 5121497025
7 31 709.285948 9 78.809550 5762008257
8 31 883.811498 11 80.346500 7046324097
9 31 1064.290983 13 81.868537 8326982081
10 31 1158.400904 14 82.742922 8971192705
11 31 1345.462626 16 84.091414 10248181761
12 31 1540.594972 18 85.588610 11541140865
13 31 1642.560017 19 86.450527 12166217921
14 31 1837.893474 21 87.518737 13452440641
15 31 2036.815196 23 88.557182 14732905217
16 31 2237.364823 25 89.494593 16025090625
17 31 2363.844990 26 90.917115 16651682433
18 31 2575.799090 28 91.992825 17933872193
19 31 2786.444266 30 92.881476 19220911745
20 31 2994.152782 32 93.567274 20509779073
21 31 3226.286002 34 94.890765 21822106817
22 31 3436.085368 36 95.446816 23065156673
23 31 3658.875152 38 96.286188 24344264577
24 31 3872.392371 40 96.809809 25656483265
25 31 4096.687375 42 97.540176 26923575873
26 31 4319.502057 44 98.170501 28184464001
27 31 4622.872752 46 100.497234 29525231809
28 31 4645.983026 48 96.791313 30767757377
29 31 4995.368529 50 99.907371 32059328705
30 31 5202.007317 52 100.038602 33411663873
31 31 5196.002081 53 98.037775 33958543681
74300.2
