q q_max q_time hits q_time/hits k 
1 31 67.271085 1 67.271085 639999937
2 31 137.665636 2 68.832818 1280187905
3 31 213.119452 3 71.039817 1920373697
4 31 367.965511 5 73.593102 3202891393
5 31 455.660053 6 75.943342 3841999873
6 31 614.861514 8 76.857689 5122791873
7 31 704.777760 9 78.308640 5772128449
8 31 877.554324 11 79.777666 7046562945
9 31 1061.920851 13 81.686219 8328912513
10 31 1162.290528 14 83.020752 8965862529
11 31 1344.253713 16 84.015857 10246128001
12 31 1533.379873 18 85.187771 11537253761
13 31 1635.105617 19 86.058190 12172820289
14 31 1825.684693 21 86.937366 13476948097
15 31 2020.607375 23 87.852495 14780113345
16 31 2212.584856 25 88.503394 16027036417
17 31 2334.191943 26 89.776613 16655271361
18 31 2547.348653 28 90.976738 17931255041
19 31 2742.131983 30 91.404399 19247390593
20 31 2952.916410 32 92.278638 20575333313
21 31 3156.361067 34 92.834149 21817403585
22 31 3364.539001 36 93.459417 23080435137
23 31 3586.372430 38 94.378222 24347290177
24 31 3730.906750 40 93.272669 25631270081
25 31 4008.982736 42 95.451970 26908003073
26 31 4194.055394 44 95.319441 28196390721
27 31 4459.235851 46 96.939910 29478683457
28 31 4743.890203 48 98.831046 30792026241
29 31 4984.743171 50 99.694863 32232798337
30 31 5078.151383 52 97.656757 33323144577
31 31 5276.159666 53 99.550182 33954473729
73394.7
