q q_max q_time hits q_time/hits k 
1 31 67.222942 1 67.222942 639999937
2 31 137.124370 2 68.562185 1280521409
3 31 213.134101 3 71.044700 1920476673
4 31 368.340285 5 73.668057 3202972097
5 31 456.090758 6 76.015126 3840580097
6 31 619.665213 8 77.458152 5126369537
7 31 707.235120 9 78.581680 5767282625
8 31 879.198925 11 79.927175 7043484545
9 31 1061.664859 13 81.666528 8329219009
10 31 1161.714471 14 82.979605 8983100033
11 31 1346.725680 16 84.170355 10272107457
12 31 1536.204514 18 85.344695 11540500929
13 31 1639.502005 19 86.289579 12169204033
14 31 1825.530663 21 86.930032 13457494081
15 31 2015.451004 23 87.628305 14734801793
16 31 2221.094954 25 88.843798 16120676993
17 31 2340.594762 26 90.022875 16654550785
18 31 2557.223242 28 91.329402 17954777217
19 31 2761.739541 30 92.057985 19211532033
20 31 2957.463431 32 92.420732 20531409857
21 31 3167.599710 34 93.164697 21782363265
22 31 3358.638993 36 93.295528 23090067585
23 31 3578.418561 38 94.168909 24367257729
24 31 3713.412615 40 92.835315 25693738369
25 31 4007.838805 42 95.424733 26934416449
26 31 4242.198501 44 96.413602 28195030593
27 31 4549.643975 46 98.905304 29487796161
28 31 4783.475745 48 99.655745 30827793857
29 31 4907.455120 50 98.149102 32089571265
30 31 5176.535065 52 99.548751 33364356033
31 31 5222.139752 53 98.530939 33975586241
73580.3
