q q_max q_time hits q_time/hits k 
1 31 64.947623 1 64.947623 639999937
2 31 131.348124 2 65.674062 1280129985
3 31 201.701121 3 67.233707 1920915329
4 31 345.824989 5 69.164998 3201842625
5 31 428.183041 6 71.363840 3841584641
6 31 582.339556 8 72.792445 5123866305
7 31 664.785953 9 73.865106 5764710465
8 31 833.379776 11 75.761798 7048838657
9 31 1016.605139 13 78.200395 8324936257
10 31 1127.466577 14 80.533327 8964893633
11 31 1314.501650 16 82.156353 10247136577
12 31 1489.231411 18 82.735078 11534994177
13 31 1601.582404 19 84.293811 12175430273
14 31 1723.207488 21 82.057499 13449430785
15 31 1906.011385 23 82.870060 14750275585
16 31 2084.213260 25 83.368530 16020944257
17 31 2217.052527 26 85.271251 16652138433
18 31 2454.660983 28 87.666464 17951529409
19 31 2663.079802 30 88.769327 19224933441
20 31 2811.033108 32 87.844785 20528546433
21 31 2975.410312 34 87.512068 21823510209
22 31 3176.502132 36 88.236170 23055368193
23 31 3324.177654 38 87.478359 24435952193
24 31 3666.497136 40 91.662428 25851194049
25 31 3966.340450 42 94.436677 26975552193
26 31 4325.242041 44 98.300955 28250147073
27 31 4560.655193 46 99.144678 29476538689
28 31 4768.951632 48 99.353159 30805448577
29 31 4843.428936 50 96.868579 32020964353
30 31 5175.147784 52 99.522073 33375143681
31 31 5276.297480 53 99.552783 33976817857
71719.8
