f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-6 0.014064 20000 3967 4000.000000
1+1E-0.187942 1+1E-6 0.015356 20000 3985 4000.000000
1+1E-0.546643 1+1E-6 0.016446 20000 3978 4000.000000
1+1E-0.875664 1+1E-6 0.016805 20000 3973 4000.000000
1+1E-1.190478 1+1E-6 0.017017 20000 3971 4000.000000
1+1E-1.498346 1+1E-6 0.016998 20000 3965 4000.000000
1+1E-1.802783 1+1E-6 0.024749 30000 5944 6000.000000
1+1E-2.105512 1+1E-6 0.039229 50000 9927 10000.000000
1+1E-2.407391 1+1E-6 0.060511 80000 15841 16000.000000
1+1E-2.708846 1+1E-6 0.061060 80000 15852 16000.000000
1+1E-3.010088 1+1E-6 0.088953 110000 21839 22000.000000
1+1E-3.311224 1+1E-6 0.151597 200000 39672 40000.000000
1+1E-3.612307 1+1E-6 0.316207 400000 79342 80000.000000
1+1E-3.913363 1+1E-6 0.226935 290000 57438 58000.000000
1+1E-4.214407 1+1E-6 0.618933 700000 138953 140000.000000
1+1E-4.515443 1+1E-6 0.640189 740000 146639 148000.000000
1+1E-4.816477 1+1E-6 0.740510 730000 144547 146000.000000
1+1E-5.117508 1+1E-6 1.237211 1300000 257551 260000.000000
1+1E-5.418539 1+1E-6 1.152348 1200000 237679 240000.000000
1+1E-5.719570 1+1E-6 2.776287 2900000 574235 580000.000000
8.23181
