q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.075089 1 0.075089 639938 639937 0
1 31 0.074883 1 0.074883 639938 639937 0
2 31 0.172401 2 0.086200 1280162 901670 378491
3 31 0.242930 3 0.080977 1924056 1263795 660260
4 31 0.438783 5 0.087757 3276693 1837531 1439161
5 31 0.533006 6 0.088834 3878666 2286837 1591828
6 31 0.723006 8 0.090376 5261802 2897932 2363869
7 31 0.806739 9 0.089638 5778161 3272761 2505399
8 31 1.063936 11 0.096721 7395257 4034546 3360710
9 31 1.151854 13 0.088604 8515549 4478793 4036755
10 31 1.239807 14 0.088558 9005702 4868549 4137152
11 31 1.424517 16 0.089032 10340985 5458911 4882073
12 31 1.628903 18 0.090495 11812005 6064379 5747625
13 31 1.722746 19 0.090671 12418915 6569010 5849904
14 31 1.868359 21 0.088969 13497458 7003494 6493963
15 31 2.074588 23 0.090199 15027829 7647695 7380133
16 31 2.218764 25 0.088751 16237936 8101131 8136804
17 31 2.311564 26 0.088906 16836082 8566297 8269784
18 31 3.046764 28 0.108813 20503341 10406287 10097053
19 31 2.818383 30 0.093946 19674328 9724576 9949751
20 31 2.968557 32 0.092767 20671476 10038928 10632547
21 31 3.377929 34 0.099351 21909428 10433397 11476030
22 31 3.760630 36 0.104462 25342897 11928562 13414334
23 31 4.349400 38 0.114458 26404850 12295998 14108851
24 31 4.156440 40 0.103911 26751652 12200342 14551309
25 31 4.425892 42 0.105378 29902626 13337116 16565509
26 31 4.909660 44 0.111583 33467423 14778671 18688751
27 31 4.434464 46 0.096401 30246642 12895961 17350680
28 31 4.654348 48 0.096966 31448546 13153970 18294575
29 31 4.818683 50 0.096374 34305478 14033090 20272387
30 31 4.877043 52 0.093789 35168469 13931415 21237053
31 31 4.817721 53 0.090900 34937208 13534373 21402834
77.1889
