L: 8 | REP: 10000 | skip: 64 | dim: 2D | lattie: SS
Mon Mar 29 12:31:00 2021 | q: 0/31 | q_time: 0.075089s | E: 1 | q_time/E: 0.075089s | shuffle time: 0.000000s
Mon Mar 29 12:31:00 2021 | q: 1/31 | q_time: 0.074883s | E: 1 | q_time/E: 0.074883s | shuffle time: 0.000000s
Mon Mar 29 12:31:01 2021 | q: 2/31 | q_time: 0.172401s | E: 2 | q_time/E: 0.086200s | shuffle time: 0.000000s
Mon Mar 29 12:31:01 2021 | q: 3/31 | q_time: 0.242930s | E: 3 | q_time/E: 0.080977s | shuffle time: 0.000000s
Mon Mar 29 12:31:01 2021 | q: 4/31 | q_time: 0.438783s | E: 5 | q_time/E: 0.087757s | shuffle time: 0.000000s
Mon Mar 29 12:31:02 2021 | q: 5/31 | q_time: 0.533006s | E: 6 | q_time/E: 0.088834s | shuffle time: 0.000000s
Mon Mar 29 12:31:03 2021 | q: 6/31 | q_time: 0.723006s | E: 8 | q_time/E: 0.090376s | shuffle time: 0.000000s
Mon Mar 29 12:31:03 2021 | q: 7/31 | q_time: 0.806739s | E: 9 | q_time/E: 0.089638s | shuffle time: 0.000000s
Mon Mar 29 12:31:04 2021 | q: 8/31 | q_time: 1.063936s | E: 11 | q_time/E: 0.096721s | shuffle time: 0.000000s
Mon Mar 29 12:31:06 2021 | q: 9/31 | q_time: 1.151854s | E: 13 | q_time/E: 0.088604s | shuffle time: 0.000000s
Mon Mar 29 12:31:07 2021 | q: 10/31 | q_time: 1.239807s | E: 14 | q_time/E: 0.088558s | shuffle time: 0.000000s
Mon Mar 29 12:31:08 2021 | q: 11/31 | q_time: 1.424517s | E: 16 | q_time/E: 0.089032s | shuffle time: 0.000000s
Mon Mar 29 12:31:10 2021 | q: 12/31 | q_time: 1.628903s | E: 18 | q_time/E: 0.090495s | shuffle time: 0.000000s
Mon Mar 29 12:31:12 2021 | q: 13/31 | q_time: 1.722746s | E: 19 | q_time/E: 0.090671s | shuffle time: 0.000000s
Mon Mar 29 12:31:14 2021 | q: 14/31 | q_time: 1.868359s | E: 21 | q_time/E: 0.088969s | shuffle time: 0.000000s
Mon Mar 29 12:31:16 2021 | q: 15/31 | q_time: 2.074588s | E: 23 | q_time/E: 0.090199s | shuffle time: 0.000000s
Mon Mar 29 12:31:18 2021 | q: 16/31 | q_time: 2.218764s | E: 25 | q_time/E: 0.088751s | shuffle time: 0.000000s
Mon Mar 29 12:31:20 2021 | q: 17/31 | q_time: 2.311564s | E: 26 | q_time/E: 0.088906s | shuffle time: 0.000000s
Mon Mar 29 12:31:23 2021 | q: 18/31 | q_time: 3.046764s | E: 28 | q_time/E: 0.108813s | shuffle time: 0.000000s
Mon Mar 29 12:31:26 2021 | q: 19/31 | q_time: 2.818383s | E: 30 | q_time/E: 0.093946s | shuffle time: 0.000000s
Mon Mar 29 12:31:29 2021 | q: 20/31 | q_time: 2.968557s | E: 32 | q_time/E: 0.092767s | shuffle time: 0.000000s
Mon Mar 29 12:31:32 2021 | q: 21/31 | q_time: 3.377929s | E: 34 | q_time/E: 0.099351s | shuffle time: 0.000000s
Mon Mar 29 12:31:36 2021 | q: 22/31 | q_time: 3.760630s | E: 36 | q_time/E: 0.104462s | shuffle time: 0.000000s
Mon Mar 29 12:31:40 2021 | q: 23/31 | q_time: 4.349400s | E: 38 | q_time/E: 0.114458s | shuffle time: 0.000000s
Mon Mar 29 12:31:45 2021 | q: 24/31 | q_time: 4.156440s | E: 40 | q_time/E: 0.103911s | shuffle time: 0.000000s
Mon Mar 29 12:31:49 2021 | q: 25/31 | q_time: 4.425892s | E: 42 | q_time/E: 0.105378s | shuffle time: 0.000000s
Mon Mar 29 12:31:54 2021 | q: 26/31 | q_time: 4.909660s | E: 44 | q_time/E: 0.111583s | shuffle time: 0.000000s
Mon Mar 29 12:31:58 2021 | q: 27/31 | q_time: 4.434464s | E: 46 | q_time/E: 0.096401s | shuffle time: 0.000000s
Mon Mar 29 12:32:03 2021 | q: 28/31 | q_time: 4.654348s | E: 48 | q_time/E: 0.096966s | shuffle time: 0.000000s
Mon Mar 29 12:32:08 2021 | q: 29/31 | q_time: 4.818683s | E: 50 | q_time/E: 0.096374s | shuffle time: 0.000000s
Mon Mar 29 12:32:13 2021 | q: 30/31 | q_time: 4.877043s | E: 52 | q_time/E: 0.093789s | shuffle time: 0.000000s
Mon Mar 29 12:32:18 2021 | q: 31/31 | q_time: 4.817721s | E: 53 | q_time/E: 0.090900s | shuffle time: 0.000000s
