q q_max q_time hits q_time/hits k accept_counter reject_counter
0 63 0.273715 1 0.273715 1279874 1279873 0
1 63 0.270769 1 0.270769 1279874 1279873 0
2 63 0.556487 2 0.278243 2560873 1808543 752329
3 63 0.844327 3 0.281442 3846510 2536945 1309564
4 63 1.436684 5 0.287337 6469452 3687913 2781538
5 63 2.033474 7 0.290496 9082555 4923375 4159179
6 63 2.613974 9 0.290442 11634012 6180319 5453692
7 63 3.257038 11 0.296094 14487727 7608497 6879229
8 63 4.507384 14 0.321956 20022462 9898838 10123623
9 63 4.718358 16 0.294897 20726682 10238756 10487925
10 63 5.319568 18 0.295532 23319704 11594893 11724810
11 63 6.663972 21 0.317332 29306412 14223828 15082583
12 63 7.056817 23 0.306818 30968644 15108045 15860598
13 63 8.562858 26 0.329341 37814176 18300725 19513450
14 63 8.925002 29 0.307759 39397665 18711065 20686599
15 63 10.159334 32 0.317479 45073526 21260564 23812961
16 63 18.199173 35 0.519976 82528370 39266198 43262171
17 63 36.161726 37 0.977344 165672804 81959811 83712992
18 63 36.206026 40 0.905151 165834262 80727138 85107123
19 63 17.794635 42 0.423682 79615795 38452483 41163311
20 63 18.882680 45 0.419615 84005116 40518627 43486488
21 63 20.652750 48 0.430266 92167980 44267052 47900927
22 63 37.957005 51 0.744255 172569450 83470136 89099313
23 63 127.229255 54 2.356097 588806510 286937954 301868555
24 63 69.989818 57 1.227892 323025667 155612111 167413555
25 63 37.083841 59 0.628540 169476477 81711138 87765338
26 63 35.040770 62 0.565174 157942879 75550953 82391925
27 63 30.358471 65 0.467053 136555010 65111409 71443600
28 63 242.799883 69 3.518839 1131201667 538033365 593168301
29 63 38.294253 72 0.531865 174896048 83014049 91881998
30 63 39.852039 75 0.531361 182546695 86406473 96140221
31 63 43.908332 79 0.555802 202896705 95465387 107431317
32 63 39.540884 82 0.482206 182538883 85946642 96592240
33 63 97.841031 85 1.151071 461019216 217143549 243875666
34 63 79.909913 89 0.897864 376984026 176485608 200498417
35 63 66.186630 92 0.719420 310614442 145209413 165405028
36 63 108.854947 96 1.133906 516661692 240614487 276047204
37 63 421.917628 99 4.261794 2023004894 940180537 1082824356
38 63 103.684809 102 1.016518 493850092 228135850 265714241
39 63 124.362976 105 1.184409 593911308 274052238 319859069
40 63 158.565539 109 1.454730 760038325 348795270 411243054
41 63 101.701542 112 0.908049 488279896 223042350 265237545
42 63 283.669996 115 2.466696 1375614669 626387687 749226981
43 63 188.794786 119 1.586511 921030041 414235312 506794728
44 63 158.439069 122 1.298681 770920643 346651226 424269416
45 63 533.193929 125 4.265551 2627855123 1174333665 1453521457
46 63 333.098115 129 2.582156 1649515297 730966776 918548520
47 63 183.868738 132 1.392945 910322986 400480330 509842655
48 63 1089.554324 136 8.011429 5457017624 2387773274 3069244349
49 63 594.878600 139 4.279702 3028623340 1312219082 1716404257
50 63 208.423097 142 1.467768 1059091067 454252928 604838138
51 63 110.781665 145 0.764011 559419663 238310257 321109405
52 63 547.124868 149 3.671979 2819216103 1185376920 1633839182
53 63 190.101782 153 1.242495 976827742 406559460 570268281
54 63 299.850597 157 1.909876 1555783653 637658933 918124719
55 63 552.567098 161 3.432094 2894223756 1175179533 1719044222
56 63 557.622475 165 3.379530 2934508577 1180394555 1754114021
57 63 309.446363 168 1.841943 1595773855 633137071 962636783
58 63 1675.484693 172 9.741190 8721002641 3419826597 5301176043
59 63 318.309923 174 1.829367 1657864786 640781156 1017083629
60 63 476.612663 177 2.692727 2498121489 956337820 1541783668
61 63 811.037637 180 4.505765 4283060780 1622262731 2660798048
62 63 1646.470722 183 8.997108 8777959695 3277387970 5500571724
63 63 1569.047743 185 8.481339 8389381233 3104594514 5284786718
14858.6
