run: 3 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: BCC
Mon Jan 25 11:57:48 2021 | q: 0/63 | q_time: 0.292760s | E: 1 | q_time/E: 0.292760s | shuffle time: 0.000000s
Mon Jan 25 11:57:48 2021 | q: 1/63 | q_time: 0.274372s | E: 1 | q_time/E: 0.274372s | shuffle time: 0.000238s
Mon Jan 25 11:57:49 2021 | q: 2/63 | q_time: 0.564215s | E: 2 | q_time/E: 0.282108s | shuffle time: 0.000259s
Mon Jan 25 11:57:50 2021 | q: 3/63 | q_time: 0.854850s | E: 3 | q_time/E: 0.284950s | shuffle time: 0.000259s
Mon Jan 25 11:57:51 2021 | q: 4/63 | q_time: 1.443124s | E: 5 | q_time/E: 0.288625s | shuffle time: 0.000260s
Mon Jan 25 11:57:53 2021 | q: 5/63 | q_time: 2.067503s | E: 7 | q_time/E: 0.295358s | shuffle time: 0.000264s
Mon Jan 25 11:57:56 2021 | q: 6/63 | q_time: 2.633952s | E: 9 | q_time/E: 0.292661s | shuffle time: 0.000263s
Mon Jan 25 11:57:59 2021 | q: 7/63 | q_time: 3.222200s | E: 11 | q_time/E: 0.292927s | shuffle time: 0.000263s
Mon Jan 25 11:58:03 2021 | q: 8/63 | q_time: 4.226550s | E: 14 | q_time/E: 0.301896s | shuffle time: 0.000266s
Mon Jan 25 11:58:08 2021 | q: 9/63 | q_time: 4.904051s | E: 16 | q_time/E: 0.306503s | shuffle time: 0.000274s
Mon Jan 25 11:58:14 2021 | q: 10/63 | q_time: 5.681276s | E: 18 | q_time/E: 0.315626s | shuffle time: 0.000271s
Mon Jan 25 11:58:20 2021 | q: 11/63 | q_time: 6.412287s | E: 21 | q_time/E: 0.305347s | shuffle time: 0.000271s
Mon Jan 25 11:58:28 2021 | q: 12/63 | q_time: 7.102415s | E: 23 | q_time/E: 0.308801s | shuffle time: 0.000271s
Mon Jan 25 11:58:36 2021 | q: 13/63 | q_time: 8.544729s | E: 26 | q_time/E: 0.328643s | shuffle time: 0.000268s
Mon Jan 25 11:58:47 2021 | q: 14/63 | q_time: 10.614706s | E: 29 | q_time/E: 0.366024s | shuffle time: 0.000267s
Mon Jan 25 11:59:51 2021 | q: 15/63 | q_time: 64.308569s | E: 32 | q_time/E: 2.009643s | shuffle time: 0.000265s
Mon Jan 25 12:00:08 2021 | q: 16/63 | q_time: 16.821550s | E: 35 | q_time/E: 0.480616s | shuffle time: 0.000263s
Mon Jan 25 12:00:43 2021 | q: 17/63 | q_time: 35.673919s | E: 37 | q_time/E: 0.964160s | shuffle time: 0.000266s
Mon Jan 25 12:01:10 2021 | q: 18/63 | q_time: 26.575734s | E: 40 | q_time/E: 0.664393s | shuffle time: 0.000267s
Mon Jan 25 12:01:38 2021 | q: 19/63 | q_time: 28.313866s | E: 42 | q_time/E: 0.674140s | shuffle time: 0.000265s
Mon Jan 25 12:02:09 2021 | q: 20/63 | q_time: 30.731906s | E: 45 | q_time/E: 0.682931s | shuffle time: 0.000509s
Mon Jan 25 12:02:48 2021 | q: 21/63 | q_time: 38.798580s | E: 48 | q_time/E: 0.808304s | shuffle time: 0.001210s
Mon Jan 25 12:03:31 2021 | q: 22/63 | q_time: 43.014702s | E: 51 | q_time/E: 0.843426s | shuffle time: 0.000272s
Mon Jan 25 12:04:30 2021 | q: 23/63 | q_time: 59.523281s | E: 54 | q_time/E: 1.102283s | shuffle time: 0.000267s
Mon Jan 25 12:05:05 2021 | q: 24/63 | q_time: 34.514298s | E: 57 | q_time/E: 0.605514s | shuffle time: 0.000268s
Mon Jan 25 12:05:37 2021 | q: 25/63 | q_time: 32.350801s | E: 59 | q_time/E: 0.548319s | shuffle time: 0.000268s
Mon Jan 25 12:06:21 2021 | q: 26/63 | q_time: 43.370841s | E: 62 | q_time/E: 0.699530s | shuffle time: 0.000268s
Mon Jan 25 12:07:53 2021 | q: 27/63 | q_time: 92.541179s | E: 65 | q_time/E: 1.423710s | shuffle time: 0.000264s
Mon Jan 25 12:09:18 2021 | q: 28/63 | q_time: 84.927458s | E: 69 | q_time/E: 1.230833s | shuffle time: 0.000266s
Mon Jan 25 12:10:17 2021 | q: 29/63 | q_time: 58.380637s | E: 72 | q_time/E: 0.810842s | shuffle time: 0.000262s
Mon Jan 25 12:11:00 2021 | q: 30/63 | q_time: 43.452544s | E: 75 | q_time/E: 0.579367s | shuffle time: 0.000462s
Mon Jan 25 12:12:41 2021 | q: 31/63 | q_time: 101.396037s | E: 79 | q_time/E: 1.283494s | shuffle time: 0.000263s
Mon Jan 25 12:14:00 2021 | q: 32/63 | q_time: 78.675529s | E: 82 | q_time/E: 0.959458s | shuffle time: 0.000262s
Mon Jan 25 12:15:25 2021 | q: 33/63 | q_time: 85.010942s | E: 85 | q_time/E: 1.000129s | shuffle time: 0.000261s
Mon Jan 25 12:16:53 2021 | q: 34/63 | q_time: 88.288006s | E: 89 | q_time/E: 0.992000s | shuffle time: 0.000262s
Mon Jan 25 12:19:59 2021 | q: 35/63 | q_time: 185.709152s | E: 92 | q_time/E: 2.018578s | shuffle time: 0.000674s
Mon Jan 25 12:23:29 2021 | q: 36/63 | q_time: 209.431663s | E: 96 | q_time/E: 2.181580s | shuffle time: 0.000266s
Mon Jan 25 12:26:52 2021 | q: 37/63 | q_time: 203.592096s | E: 99 | q_time/E: 2.056486s | shuffle time: 0.000266s
