run: 2 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: BCC
Mon Jan 25 00:33:45 2021 | q: 0/63 | q_time: 0.276246s | E: 1 | q_time/E: 0.276246s | shuffle time: 0.000000s
Mon Jan 25 00:33:45 2021 | q: 1/63 | q_time: 0.272651s | E: 1 | q_time/E: 0.272651s | shuffle time: 0.000235s
Mon Jan 25 00:33:46 2021 | q: 2/63 | q_time: 0.560750s | E: 2 | q_time/E: 0.280375s | shuffle time: 0.000259s
Mon Jan 25 00:33:46 2021 | q: 3/63 | q_time: 0.850712s | E: 3 | q_time/E: 0.283571s | shuffle time: 0.000251s
Mon Jan 25 00:33:48 2021 | q: 4/63 | q_time: 1.450136s | E: 5 | q_time/E: 0.290027s | shuffle time: 0.000260s
Mon Jan 25 00:33:50 2021 | q: 5/63 | q_time: 2.030002s | E: 7 | q_time/E: 0.290000s | shuffle time: 0.000266s
Mon Jan 25 00:33:53 2021 | q: 6/63 | q_time: 2.652828s | E: 9 | q_time/E: 0.294759s | shuffle time: 0.000267s
Mon Jan 25 00:33:56 2021 | q: 7/63 | q_time: 3.279781s | E: 11 | q_time/E: 0.298162s | shuffle time: 0.000262s
Mon Jan 25 00:34:00 2021 | q: 8/63 | q_time: 4.496936s | E: 14 | q_time/E: 0.321210s | shuffle time: 0.000267s
Mon Jan 25 00:34:05 2021 | q: 9/63 | q_time: 4.779111s | E: 16 | q_time/E: 0.298694s | shuffle time: 0.000267s
Mon Jan 25 00:34:11 2021 | q: 10/63 | q_time: 5.384801s | E: 18 | q_time/E: 0.299156s | shuffle time: 0.000268s
Mon Jan 25 00:34:18 2021 | q: 11/63 | q_time: 7.233544s | E: 21 | q_time/E: 0.344454s | shuffle time: 0.000268s
Mon Jan 25 00:34:26 2021 | q: 12/63 | q_time: 7.825326s | E: 23 | q_time/E: 0.340232s | shuffle time: 0.000268s
Mon Jan 25 00:34:34 2021 | q: 13/63 | q_time: 8.819130s | E: 26 | q_time/E: 0.339197s | shuffle time: 0.000280s
Mon Jan 25 00:34:46 2021 | q: 14/63 | q_time: 11.523372s | E: 29 | q_time/E: 0.397358s | shuffle time: 0.000271s
Mon Jan 25 00:34:58 2021 | q: 15/63 | q_time: 12.547589s | E: 32 | q_time/E: 0.392112s | shuffle time: 0.000265s
Mon Jan 25 00:35:11 2021 | q: 16/63 | q_time: 12.276031s | E: 35 | q_time/E: 0.350744s | shuffle time: 0.000263s
Mon Jan 25 00:35:30 2021 | q: 17/63 | q_time: 19.300992s | E: 37 | q_time/E: 0.521648s | shuffle time: 0.000272s
Mon Jan 25 00:35:50 2021 | q: 18/63 | q_time: 20.046250s | E: 40 | q_time/E: 0.501156s | shuffle time: 0.000268s
Mon Jan 25 00:36:17 2021 | q: 19/63 | q_time: 26.494833s | E: 42 | q_time/E: 0.630829s | shuffle time: 0.000266s
Mon Jan 25 00:36:35 2021 | q: 20/63 | q_time: 18.305282s | E: 45 | q_time/E: 0.406784s | shuffle time: 0.000268s
Mon Jan 25 00:36:58 2021 | q: 21/63 | q_time: 22.972568s | E: 48 | q_time/E: 0.478595s | shuffle time: 0.000268s
Mon Jan 25 00:37:21 2021 | q: 22/63 | q_time: 23.326555s | E: 51 | q_time/E: 0.457383s | shuffle time: 0.000270s
Mon Jan 25 00:39:24 2021 | q: 23/63 | q_time: 123.232391s | E: 54 | q_time/E: 2.282081s | shuffle time: 0.000271s
Mon Jan 25 00:41:11 2021 | q: 24/63 | q_time: 106.705441s | E: 57 | q_time/E: 1.872025s | shuffle time: 0.000268s
Mon Jan 25 00:41:51 2021 | q: 25/63 | q_time: 39.623654s | E: 59 | q_time/E: 0.671587s | shuffle time: 0.000269s
Mon Jan 25 00:42:22 2021 | q: 26/63 | q_time: 30.983997s | E: 62 | q_time/E: 0.499742s | shuffle time: 0.000270s
Mon Jan 25 00:42:53 2021 | q: 27/63 | q_time: 30.955611s | E: 65 | q_time/E: 0.476240s | shuffle time: 0.000268s
Mon Jan 25 00:43:32 2021 | q: 28/63 | q_time: 39.268470s | E: 69 | q_time/E: 0.569108s | shuffle time: 0.000265s
Mon Jan 25 00:44:32 2021 | q: 29/63 | q_time: 60.008097s | E: 72 | q_time/E: 0.833446s | shuffle time: 0.000267s
Mon Jan 25 00:45:26 2021 | q: 30/63 | q_time: 54.244604s | E: 75 | q_time/E: 0.723261s | shuffle time: 0.000279s
Mon Jan 25 00:46:24 2021 | q: 31/63 | q_time: 58.256737s | E: 79 | q_time/E: 0.737427s | shuffle time: 0.000261s
Mon Jan 25 00:47:16 2021 | q: 32/63 | q_time: 51.378819s | E: 82 | q_time/E: 0.626571s | shuffle time: 0.000259s
Mon Jan 25 00:48:30 2021 | q: 33/63 | q_time: 74.132544s | E: 85 | q_time/E: 0.872148s | shuffle time: 0.000263s
Mon Jan 25 00:49:52 2021 | q: 34/63 | q_time: 81.899146s | E: 89 | q_time/E: 0.920215s | shuffle time: 0.000260s
Mon Jan 25 00:51:01 2021 | q: 35/63 | q_time: 69.225941s | E: 92 | q_time/E: 0.752456s | shuffle time: 0.000269s
Mon Jan 25 00:52:57 2021 | q: 36/63 | q_time: 115.514468s | E: 96 | q_time/E: 1.203276s | shuffle time: 0.000264s
Mon Jan 25 00:59:39 2021 | q: 37/63 | q_time: 402.207500s | E: 99 | q_time/E: 4.062702s | shuffle time: 0.000265s
Mon Jan 25 01:01:08 2021 | q: 38/63 | q_time: 89.544687s | E: 102 | q_time/E: 0.877889s | shuffle time: 0.000269s
Mon Jan 25 01:02:42 2021 | q: 39/63 | q_time: 93.667931s | E: 105 | q_time/E: 0.892076s | shuffle time: 0.000267s
Mon Jan 25 01:05:02 2021 | q: 40/63 | q_time: 139.749858s | E: 109 | q_time/E: 1.282109s | shuffle time: 0.000269s
Mon Jan 25 01:09:25 2021 | q: 41/63 | q_time: 263.662574s | E: 112 | q_time/E: 2.354130s | shuffle time: 0.000269s
Mon Jan 25 01:11:05 2021 | q: 42/63 | q_time: 99.485230s | E: 115 | q_time/E: 0.865089s | shuffle time: 0.000268s
Mon Jan 25 01:14:51 2021 | q: 43/63 | q_time: 225.641555s | E: 119 | q_time/E: 1.896148s | shuffle time: 0.000268s
Mon Jan 25 01:24:43 2021 | q: 44/63 | q_time: 592.818293s | E: 122 | q_time/E: 4.859166s | shuffle time: 0.000271s
Mon Jan 25 01:26:38 2021 | q: 45/63 | q_time: 114.247552s | E: 125 | q_time/E: 0.913980s | shuffle time: 0.000270s
Mon Jan 25 01:29:22 2021 | q: 46/63 | q_time: 164.230592s | E: 129 | q_time/E: 1.273105s | shuffle time: 0.000268s
Mon Jan 25 01:35:08 2021 | q: 47/63 | q_time: 346.455099s | E: 132 | q_time/E: 2.624660s | shuffle time: 0.000269s
Mon Jan 25 01:45:46 2021 | q: 48/63 | q_time: 637.378759s | E: 136 | q_time/E: 4.686609s | shuffle time: 0.000270s
Mon Jan 25 03:26:33 2021 | q: 49/63 | q_time: 6047.083381s | E: 139 | q_time/E: 43.504197s | shuffle time: 0.000265s
Mon Jan 25 03:33:45 2021 | q: 50/63 | q_time: 431.861516s | E: 142 | q_time/E: 3.041278s | shuffle time: 0.000265s
Mon Jan 25 03:39:09 2021 | q: 51/63 | q_time: 324.634977s | E: 145 | q_time/E: 2.238862s | shuffle time: 0.000265s
Mon Jan 25 03:41:47 2021 | q: 52/63 | q_time: 157.378524s | E: 149 | q_time/E: 1.056232s | shuffle time: 0.000264s
Mon Jan 25 03:44:05 2021 | q: 53/63 | q_time: 138.514291s | E: 153 | q_time/E: 0.905322s | shuffle time: 0.000265s
Mon Jan 25 03:49:16 2021 | q: 54/63 | q_time: 311.038194s | E: 157 | q_time/E: 1.981135s | shuffle time: 0.000262s
Mon Jan 25 06:03:28 2021 | q: 55/63 | q_time: 8051.502397s | E: 161 | q_time/E: 50.009332s | shuffle time: 0.000259s
Mon Jan 25 06:51:56 2021 | q: 56/63 | q_time: 2908.725296s | E: 165 | q_time/E: 17.628638s | shuffle time: 0.000325s
Mon Jan 25 06:55:17 2021 | q: 57/63 | q_time: 200.550302s | E: 168 | q_time/E: 1.193752s | shuffle time: 0.000260s
Mon Jan 25 07:26:27 2021 | q: 58/63 | q_time: 1869.809655s | E: 172 | q_time/E: 10.870986s | shuffle time: 0.000262s
Mon Jan 25 07:30:57 2021 | q: 59/63 | q_time: 270.240210s | E: 174 | q_time/E: 1.553105s | shuffle time: 0.000255s
Mon Jan 25 09:58:14 2021 | q: 60/63 | q_time: 8837.213458s | E: 177 | q_time/E: 49.927760s | shuffle time: 0.000254s
