run: 8 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: BCC
Tue Jan 26 17:40:06 2021 | q: 45/63 | q_time: 533.193929s | E: 125 | q_time/E: 4.265551s | shuffle time: 0.000268s
Tue Jan 26 17:45:39 2021 | q: 46/63 | q_time: 333.098115s | E: 129 | q_time/E: 2.582156s | shuffle time: 0.000265s
Tue Jan 26 17:48:43 2021 | q: 47/63 | q_time: 183.868738s | E: 132 | q_time/E: 1.392945s | shuffle time: 0.000265s
Tue Jan 26 18:06:52 2021 | q: 48/63 | q_time: 1089.554324s | E: 136 | q_time/E: 8.011429s | shuffle time: 0.000265s
Tue Jan 26 18:16:47 2021 | q: 49/63 | q_time: 594.878600s | E: 139 | q_time/E: 4.279702s | shuffle time: 0.000263s
Tue Jan 26 18:20:16 2021 | q: 50/63 | q_time: 208.423097s | E: 142 | q_time/E: 1.467768s | shuffle time: 0.000262s
Tue Jan 26 18:22:06 2021 | q: 51/63 | q_time: 110.781665s | E: 145 | q_time/E: 0.764011s | shuffle time: 0.000261s
Tue Jan 26 18:31:14 2021 | q: 52/63 | q_time: 547.124868s | E: 149 | q_time/E: 3.671979s | shuffle time: 0.000261s
Tue Jan 26 18:34:24 2021 | q: 53/63 | q_time: 190.101782s | E: 153 | q_time/E: 1.242495s | shuffle time: 0.000262s
Tue Jan 26 18:39:23 2021 | q: 54/63 | q_time: 299.850597s | E: 157 | q_time/E: 1.909876s | shuffle time: 0.000260s
Tue Jan 26 18:48:36 2021 | q: 55/63 | q_time: 552.567098s | E: 161 | q_time/E: 3.432094s | shuffle time: 0.000257s
Tue Jan 26 18:57:54 2021 | q: 56/63 | q_time: 557.622475s | E: 165 | q_time/E: 3.379530s | shuffle time: 0.000259s
Tue Jan 26 19:03:03 2021 | q: 57/63 | q_time: 309.446363s | E: 168 | q_time/E: 1.841943s | shuffle time: 0.000256s
Tue Jan 26 19:30:59 2021 | q: 58/63 | q_time: 1675.484693s | E: 172 | q_time/E: 9.741190s | shuffle time: 0.000257s
Tue Jan 26 19:36:17 2021 | q: 59/63 | q_time: 318.309923s | E: 174 | q_time/E: 1.829367s | shuffle time: 0.000253s
Tue Jan 26 19:44:14 2021 | q: 60/63 | q_time: 476.612663s | E: 177 | q_time/E: 2.692727s | shuffle time: 0.000252s
Tue Jan 26 19:57:45 2021 | q: 61/63 | q_time: 811.037637s | E: 180 | q_time/E: 4.505765s | shuffle time: 0.000254s
Tue Jan 26 20:25:11 2021 | q: 62/63 | q_time: 1646.470722s | E: 183 | q_time/E: 8.997108s | shuffle time: 0.000251s
Tue Jan 26 20:51:20 2021 | q: 63/63 | q_time: 1569.047743s | E: 185 | q_time/E: 8.481339s | shuffle time: 0.000251s
