q q_max q_time hits q_time/hits k accept_counter reject_counter
0 63 0.273712 1 0.273712 1279874 1279873 0
1 63 0.272819 1 0.272819 1279874 1279873 0
2 63 0.560962 2 0.280481 2560434 1804627 755806
3 63 0.851843 3 0.283948 3847121 2552658 1294462
4 63 1.440269 5 0.288054 6429017 3666554 2762462
5 63 2.096967 7 0.299567 9286724 5052936 4233787
6 63 2.668223 9 0.296469 11772444 6261742 5510701
7 63 3.256154 11 0.296014 14340360 7498918 6841441
8 63 4.473160 14 0.319511 19673417 9726409 9947007
9 63 5.063863 16 0.316491 22094771 10946632 11148138
10 63 5.452989 18 0.302944 23687808 11831118 11856689
11 63 7.970005 21 0.379524 34986269 17124992 17861276
12 63 6.862555 23 0.298372 29903029 14626591 15276437
13 63 13.832638 26 0.532025 61802470 30211350 31591119
14 63 9.896849 29 0.341271 43576554 20814346 22762207
15 63 11.588190 32 0.362131 51339838 24390597 26949240
16 63 69.605014 35 1.988715 320741802 154351533 166390268
17 63 23.529825 37 0.635941 106352069 51583186 54768882
18 63 20.974243 40 0.524356 94266648 45696370 48570277
19 63 35.403281 42 0.842935 160750173 78345941 82404231
20 63 22.568722 45 0.501527 100441660 48333292 52108367
21 63 19.100847 48 0.397934 84472395 40495013 43977381
22 63 33.838471 51 0.663499 152389388 73524407 78864980
23 63 121.182951 54 2.244129 556890971 269566909 287324061
24 63 110.904521 57 1.945693 510692071 248151514 262540556
25 63 36.799181 59 0.623715 167151622 80849831 86301790
26 63 32.869058 62 0.530146 146939490 70483394 76456095
27 63 44.608647 65 0.686287 147922939 71170574 76752364
28 63 52.597342 69 0.762280 236546377 113002920 123543456
29 63 62.505088 72 0.868126 250082196 119251519 130830676
30 63 69.350218 75 0.924670 296788107 141513998 155274108
31 63 59.440221 79 0.752408 275140940 129247748 145893191
32 63 45.580503 82 0.555860 210298067 98621536 111676530
33 63 80.669326 85 0.949051 376861286 177827617 199033668
34 63 125.467972 89 1.409752 585166218 273334698 311831519
35 63 88.954263 92 0.966894 378016272 176626621 201389650
36 63 143.820983 96 1.498135 663341969 308028921 355313047
37 63 306.445244 99 3.095407 1380166950 640631322 739535627
38 63 87.799699 102 0.860781 401676814 186030457 215646356
39 63 105.402140 105 1.003830 465648935 213996550 251652384
40 63 131.049904 109 1.202293 536819064 245206046 291613017
41 63 179.230605 112 1.600273 853079704 391528793 461550910
42 63 128.624856 115 1.118477 594870157 270692111 324178045
43 63 229.198471 119 1.926038 1043498986 472894862 570604123
44 63 213.989220 122 1.754010 1041420903 468233911 573186991
45 63 365.704647 125 2.925637 1791821629 802970590 988851038
46 63 228.936080 129 1.774698 1126127195 499398215 626728979
47 63 214.121502 132 1.622133 1031797841 454079764 577718076
48 63 790.637698 136 5.813512 3711151036 1621863567 2089287468
49 63 558.450939 139 4.017633 2761423264 1197440316 1563982947
50 63 268.606108 142 1.891592 1273122837 545469403 727653433
51 63 80.173395 145 0.552920 397086108 168724022 228362085
52 63 97.053038 149 0.651363 486469416 204305078 282164337
53 63 166.452789 153 1.087927 842479186 349576909 492902276
54 63 661.185909 157 4.211375 3401000238 1398158762 2002841475
55 63 433.407061 161 2.691969 2173356240 884056316 1289299923
56 63 2715.156363 165 16.455493 14111438418 5660768971 8450669446
57 63 617.361437 168 3.674770 3136676647 1239174224 1897502422
58 63 665.060560 172 3.866631 3393776240 1325368745 2068407494
59 63 225.209217 174 1.294306 1154365605 446207533 708158071
60 63 6083.271625 177 34.368766 30466441155 11651037001 18815404153
61 63 2377.332710 180 13.207404 11954976130 4513123442 7441852687
62 63 1211.732111 183 6.621487 6253249978 2328686349 3924563628
63 63 1546.263701 185 8.358182 8041747556 2972274762 5069472793
22064.2
