q q_max q_time hits q_time/hits k accept_counter reject_counter
0 63 0.328031 1 0.328031 1279874 1279873 0
1 63 0.294635 1 0.294635 1279874 1279873 0
2 63 0.581607 2 0.290803 2561861 1813546 748314
3 63 0.846932 3 0.282311 3840334 2546134 1294199
4 63 1.431365 5 0.286273 6418104 3630026 2788077
5 63 2.024730 7 0.289247 8997729 4846207 4151521
6 63 2.638337 9 0.293149 11688698 6197613 5491084
7 63 3.221073 11 0.292825 14245398 7434617 6810780
8 63 4.134885 14 0.295349 18205557 8936411 9269145
9 63 4.727960 16 0.295497 20655532 10181527 10474004
10 63 5.483395 18 0.304633 23943796 11972626 11971169
11 63 7.184542 21 0.342121 31536691 15451594 16085096
12 63 10.484863 23 0.455864 32601371 16077285 16524085
13 63 8.633817 26 0.332070 37912296 18430372 19481923
14 63 15.429555 29 0.532054 69123514 33379231 35744282
15 63 19.820274 32 0.619384 76144568 36283991 39860576
16 63 12.951143 35 0.370033 57428185 27166949 30261235
17 63 26.467117 37 0.715327 119791961 58316993 61474967
18 63 26.204454 40 0.655111 118312051 57727168 60584882
19 63 35.783398 42 0.851986 162156289 79909672 82246616
20 63 21.942188 45 0.487604 94061765 45270133 48791631
21 63 22.722555 48 0.473387 99540374 47984006 51556367
22 63 25.469161 51 0.499395 101368881 48789827 52579053
23 63 211.500794 54 3.916681 909492641 445545048 463947592
24 63 123.067666 57 2.159082 550021031 266493808 283527222
25 63 59.019584 59 1.000332 268588724 129993061 138595662
26 63 26.528931 62 0.427886 117567043 56403881 61163161
27 63 32.680249 65 0.502773 146149623 70031564 76118058
28 63 32.245068 69 0.467320 143526670 67874772 75651897
29 63 31.266043 72 0.434251 140595015 66388793 74206221
30 63 74.916807 75 0.998891 279658659 133441206 146217452
31 63 73.587068 79 0.931482 329230458 156440642 172789815
32 63 62.200383 82 0.758541 276292040 130391646 145900393
33 63 46.915032 85 0.551942 216841389 101876001 114965387
34 63 79.384169 89 0.891957 371978292 174361291 197617000
35 63 72.534583 92 0.788419 337838613 157887308 179951304
36 63 194.027572 96 2.021121 919139965 430925082 488214882
37 63 338.175665 99 3.415916 1515979844 705696469 810283374
38 63 81.028394 102 0.794396 382458590 176567170 205891419
39 63 108.177016 105 1.030257 513644434 237570579 276073854
40 63 122.032802 109 1.119567 583097146 267739939 315357206
41 63 156.607088 112 1.398278 728208605 331822160 396386444
42 63 114.479893 115 0.995477 505159732 229733678 275426053
43 63 122.245940 119 1.027277 586105635 264282148 321823486
44 63 253.495627 122 2.077833 1229731459 555042703 674688755
45 63 247.778413 125 1.982227 1116208341 499347148 616861192
46 63 206.940494 129 1.604190 1015016400 450815002 564201397
47 63 195.209204 132 1.478858 874488585 384163082 490325502
48 63 159.713819 136 1.174366 782811966 339721059 443090906
49 63 3442.530377 139 24.766406 17049060201 7374347836 9674712364
50 63 275.236070 142 1.938282 1355635560 583047914 772587645
51 63 265.992312 145 1.834430 1346283382 573070628 773212753
52 63 120.422531 149 0.808205 604339068 253022189 351316878
53 63 149.007835 153 0.973907 733995590 304838120 429157469
54 63 306.367158 157 1.951383 1574588508 647815001 926773506
55 63 618.945118 161 3.844380 3136194535 1275536638 1860657896
56 63 364.484152 165 2.208995 1825917128 732015667 1093901460
57 63 272.025040 168 1.619197 1364391621 541816127 822575493
58 63 531.964731 172 3.092818 2705976476 1057071220 1648905255
59 63 244.004934 174 1.402327 1214486293 469649555 744836737
60 63 5632.668345 177 31.822985 29514878322 11302797544 18212080777
61 63 2415.122988 180 13.417350 12896271824 4877027583 8019244240
62 63 1102.303086 183 6.023514 5893412386 2200635213 3692777172
63 63 5863.155819 185 31.692734 31510967145 11659549181 19851417963
25088.8
