run: 4 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: BCC
Mon Jan 25 16:05:00 2021 | q: 0/63 | q_time: 0.274206s | E: 1 | q_time/E: 0.274206s | shuffle time: 0.000000s
Mon Jan 25 16:05:00 2021 | q: 1/63 | q_time: 0.273081s | E: 1 | q_time/E: 0.273081s | shuffle time: 0.000236s
Mon Jan 25 16:05:01 2021 | q: 2/63 | q_time: 0.561282s | E: 2 | q_time/E: 0.280641s | shuffle time: 0.000259s
Mon Jan 25 16:05:01 2021 | q: 3/63 | q_time: 0.850522s | E: 3 | q_time/E: 0.283507s | shuffle time: 0.000252s
Mon Jan 25 16:05:03 2021 | q: 4/63 | q_time: 1.478530s | E: 5 | q_time/E: 0.295706s | shuffle time: 0.000260s
Mon Jan 25 16:05:05 2021 | q: 5/63 | q_time: 2.032464s | E: 7 | q_time/E: 0.290352s | shuffle time: 0.000264s
Mon Jan 25 16:05:08 2021 | q: 6/63 | q_time: 2.650949s | E: 9 | q_time/E: 0.294550s | shuffle time: 0.000263s
Mon Jan 25 16:05:14 2021 | q: 7/63 | q_time: 6.460655s | E: 11 | q_time/E: 0.587332s | shuffle time: 0.000263s
Mon Jan 25 16:05:19 2021 | q: 8/63 | q_time: 5.151865s | E: 14 | q_time/E: 0.367990s | shuffle time: 0.000519s
Mon Jan 25 16:05:25 2021 | q: 9/63 | q_time: 5.330318s | E: 16 | q_time/E: 0.333145s | shuffle time: 0.000266s
Mon Jan 25 16:05:30 2021 | q: 10/63 | q_time: 5.470872s | E: 18 | q_time/E: 0.303937s | shuffle time: 0.000269s
Mon Jan 25 16:05:37 2021 | q: 11/63 | q_time: 7.010615s | E: 21 | q_time/E: 0.333839s | shuffle time: 0.000269s
Mon Jan 25 16:05:44 2021 | q: 12/63 | q_time: 6.867596s | E: 23 | q_time/E: 0.298591s | shuffle time: 0.000270s
Mon Jan 25 16:05:52 2021 | q: 13/63 | q_time: 8.404887s | E: 26 | q_time/E: 0.323265s | shuffle time: 0.000269s
Mon Jan 25 16:06:05 2021 | q: 14/63 | q_time: 12.943048s | E: 29 | q_time/E: 0.446312s | shuffle time: 0.000268s
Mon Jan 25 16:06:22 2021 | q: 15/63 | q_time: 16.440318s | E: 32 | q_time/E: 0.513760s | shuffle time: 0.000269s
Mon Jan 25 16:07:21 2021 | q: 16/63 | q_time: 59.111707s | E: 35 | q_time/E: 1.688906s | shuffle time: 0.000265s
Mon Jan 25 16:07:37 2021 | q: 17/63 | q_time: 16.084699s | E: 37 | q_time/E: 0.434722s | shuffle time: 0.000280s
Mon Jan 25 16:07:52 2021 | q: 18/63 | q_time: 15.404309s | E: 40 | q_time/E: 0.385108s | shuffle time: 0.000269s
Mon Jan 25 16:08:08 2021 | q: 19/63 | q_time: 16.106785s | E: 42 | q_time/E: 0.383495s | shuffle time: 0.000267s
Mon Jan 25 16:08:26 2021 | q: 20/63 | q_time: 17.597625s | E: 45 | q_time/E: 0.391058s | shuffle time: 0.000268s
Mon Jan 25 16:10:02 2021 | q: 21/63 | q_time: 95.664412s | E: 48 | q_time/E: 1.993009s | shuffle time: 0.000270s
