run: 9 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: BCC
Tue Jan 26 20:51:21 2021 | q: 0/63 | q_time: 0.270011s | E: 1 | q_time/E: 0.270011s | shuffle time: 0.000000s
Tue Jan 26 20:51:21 2021 | q: 1/63 | q_time: 0.272657s | E: 1 | q_time/E: 0.272657s | shuffle time: 0.000234s
Tue Jan 26 20:51:22 2021 | q: 2/63 | q_time: 0.559910s | E: 2 | q_time/E: 0.279955s | shuffle time: 0.000258s
Tue Jan 26 20:51:23 2021 | q: 3/63 | q_time: 0.849620s | E: 3 | q_time/E: 0.283207s | shuffle time: 0.000251s
Tue Jan 26 20:51:24 2021 | q: 4/63 | q_time: 1.434065s | E: 5 | q_time/E: 0.286813s | shuffle time: 0.000260s
Tue Jan 26 20:51:26 2021 | q: 5/63 | q_time: 2.022790s | E: 7 | q_time/E: 0.288970s | shuffle time: 0.000264s
Tue Jan 26 20:51:29 2021 | q: 6/63 | q_time: 2.630149s | E: 9 | q_time/E: 0.292239s | shuffle time: 0.000264s
Tue Jan 26 20:51:32 2021 | q: 7/63 | q_time: 3.225428s | E: 11 | q_time/E: 0.293221s | shuffle time: 0.000260s
Tue Jan 26 20:51:36 2021 | q: 8/63 | q_time: 4.114333s | E: 14 | q_time/E: 0.293881s | shuffle time: 0.000263s
Tue Jan 26 20:51:41 2021 | q: 9/63 | q_time: 4.850657s | E: 16 | q_time/E: 0.303166s | shuffle time: 0.000268s
Tue Jan 26 20:51:47 2021 | q: 10/63 | q_time: 5.849634s | E: 18 | q_time/E: 0.324980s | shuffle time: 0.000268s
Tue Jan 26 20:51:53 2021 | q: 11/63 | q_time: 6.287794s | E: 21 | q_time/E: 0.299419s | shuffle time: 0.000267s
Tue Jan 26 20:52:00 2021 | q: 12/63 | q_time: 6.880562s | E: 23 | q_time/E: 0.299155s | shuffle time: 0.000270s
Tue Jan 26 20:52:08 2021 | q: 13/63 | q_time: 7.736241s | E: 26 | q_time/E: 0.297548s | shuffle time: 0.000267s
Tue Jan 26 20:52:18 2021 | q: 14/63 | q_time: 10.408309s | E: 29 | q_time/E: 0.358907s | shuffle time: 0.000268s
Tue Jan 26 20:52:40 2021 | q: 15/63 | q_time: 21.261034s | E: 32 | q_time/E: 0.664407s | shuffle time: 0.000265s
Tue Jan 26 20:53:24 2021 | q: 16/63 | q_time: 44.438377s | E: 35 | q_time/E: 1.269668s | shuffle time: 0.000263s
Tue Jan 26 20:53:37 2021 | q: 17/63 | q_time: 13.281316s | E: 37 | q_time/E: 0.358954s | shuffle time: 0.000263s
Tue Jan 26 20:54:22 2021 | q: 18/63 | q_time: 45.100738s | E: 40 | q_time/E: 1.127518s | shuffle time: 0.000280s
Tue Jan 26 20:54:46 2021 | q: 19/63 | q_time: 23.827853s | E: 42 | q_time/E: 0.567330s | shuffle time: 0.000264s
Tue Jan 26 20:55:05 2021 | q: 20/63 | q_time: 18.859098s | E: 45 | q_time/E: 0.419091s | shuffle time: 0.000267s
Tue Jan 26 20:55:23 2021 | q: 21/63 | q_time: 17.627567s | E: 48 | q_time/E: 0.367241s | shuffle time: 0.000270s
Tue Jan 26 20:55:51 2021 | q: 22/63 | q_time: 27.996479s | E: 51 | q_time/E: 0.548951s | shuffle time: 0.000268s
Tue Jan 26 20:56:58 2021 | q: 23/63 | q_time: 67.475907s | E: 54 | q_time/E: 1.249554s | shuffle time: 0.000268s
Tue Jan 26 20:57:36 2021 | q: 24/63 | q_time: 38.077950s | E: 57 | q_time/E: 0.668034s | shuffle time: 0.000268s
Tue Jan 26 20:57:59 2021 | q: 25/63 | q_time: 22.595447s | E: 59 | q_time/E: 0.382974s | shuffle time: 0.000267s
Tue Jan 26 20:58:27 2021 | q: 26/63 | q_time: 27.888749s | E: 62 | q_time/E: 0.449819s | shuffle time: 0.000265s
Tue Jan 26 20:59:00 2021 | q: 27/63 | q_time: 32.986061s | E: 65 | q_time/E: 0.507478s | shuffle time: 0.000265s
Tue Jan 26 21:03:45 2021 | q: 28/63 | q_time: 285.632798s | E: 69 | q_time/E: 4.139606s | shuffle time: 0.000263s
Tue Jan 26 21:04:32 2021 | q: 29/63 | q_time: 46.534315s | E: 72 | q_time/E: 0.646310s | shuffle time: 0.000262s
Tue Jan 26 21:05:29 2021 | q: 30/63 | q_time: 57.021774s | E: 75 | q_time/E: 0.760290s | shuffle time: 0.000262s
Tue Jan 26 21:06:19 2021 | q: 31/63 | q_time: 50.010886s | E: 79 | q_time/E: 0.633049s | shuffle time: 0.000258s
Tue Jan 26 21:07:22 2021 | q: 32/63 | q_time: 63.357659s | E: 82 | q_time/E: 0.772654s | shuffle time: 0.000260s
Tue Jan 26 21:09:09 2021 | q: 33/63 | q_time: 107.044853s | E: 85 | q_time/E: 1.259351s | shuffle time: 0.000261s
Tue Jan 26 21:10:26 2021 | q: 34/63 | q_time: 76.477556s | E: 89 | q_time/E: 0.859298s | shuffle time: 0.000260s
Tue Jan 26 21:11:46 2021 | q: 35/63 | q_time: 80.337010s | E: 92 | q_time/E: 0.873228s | shuffle time: 0.000263s
Tue Jan 26 21:13:42 2021 | q: 36/63 | q_time: 116.343441s | E: 96 | q_time/E: 1.211911s | shuffle time: 0.000264s
Tue Jan 26 21:16:23 2021 | q: 37/63 | q_time: 160.646247s | E: 99 | q_time/E: 1.622689s | shuffle time: 0.000265s
Tue Jan 26 21:17:39 2021 | q: 38/63 | q_time: 76.209761s | E: 102 | q_time/E: 0.747155s | shuffle time: 0.000267s
Tue Jan 26 21:18:42 2021 | q: 39/63 | q_time: 62.785301s | E: 105 | q_time/E: 0.597955s | shuffle time: 0.000265s
Tue Jan 26 21:23:33 2021 | q: 40/63 | q_time: 290.961161s | E: 109 | q_time/E: 2.669368s | shuffle time: 0.000264s
Tue Jan 26 21:25:24 2021 | q: 41/63 | q_time: 110.884978s | E: 112 | q_time/E: 0.990044s | shuffle time: 0.000266s
Tue Jan 26 21:28:24 2021 | q: 42/63 | q_time: 179.822653s | E: 115 | q_time/E: 1.563675s | shuffle time: 0.000265s
Tue Jan 26 21:32:09 2021 | q: 43/63 | q_time: 224.923956s | E: 119 | q_time/E: 1.890117s | shuffle time: 0.000267s
Tue Jan 26 21:36:00 2021 | q: 44/63 | q_time: 231.209385s | E: 122 | q_time/E: 1.895159s | shuffle time: 0.000266s
Tue Jan 26 21:39:26 2021 | q: 45/63 | q_time: 206.172151s | E: 125 | q_time/E: 1.649377s | shuffle time: 0.000266s
Tue Jan 26 21:42:57 2021 | q: 46/63 | q_time: 211.249178s | E: 129 | q_time/E: 1.637591s | shuffle time: 0.000266s
Tue Jan 26 21:47:09 2021 | q: 47/63 | q_time: 251.542155s | E: 132 | q_time/E: 1.905622s | shuffle time: 0.000264s
Tue Jan 26 22:03:00 2021 | q: 48/63 | q_time: 950.833279s | E: 136 | q_time/E: 6.991421s | shuffle time: 0.000263s
Tue Jan 26 23:02:25 2021 | q: 49/63 | q_time: 3565.591695s | E: 139 | q_time/E: 25.651739s | shuffle time: 0.000260s
Tue Jan 26 23:09:26 2021 | q: 50/63 | q_time: 420.616266s | E: 142 | q_time/E: 2.962086s | shuffle time: 0.000261s
Tue Jan 26 23:13:47 2021 | q: 51/63 | q_time: 260.629900s | E: 145 | q_time/E: 1.797448s | shuffle time: 0.000261s
Tue Jan 26 23:16:08 2021 | q: 52/63 | q_time: 141.793941s | E: 149 | q_time/E: 0.951637s | shuffle time: 0.000262s
Tue Jan 26 23:18:35 2021 | q: 53/63 | q_time: 146.192723s | E: 153 | q_time/E: 0.955508s | shuffle time: 0.000260s
Tue Jan 26 23:20:51 2021 | q: 54/63 | q_time: 136.994243s | E: 157 | q_time/E: 0.872575s | shuffle time: 0.000258s
Tue Jan 26 23:35:20 2021 | q: 55/63 | q_time: 868.633516s | E: 161 | q_time/E: 5.395239s | shuffle time: 0.000258s
Wed Jan 27 00:13:03 2021 | q: 56/63 | q_time: 2263.310933s | E: 165 | q_time/E: 13.717036s | shuffle time: 0.000258s
Wed Jan 27 00:22:31 2021 | q: 57/63 | q_time: 567.889705s | E: 168 | q_time/E: 3.380296s | shuffle time: 0.000257s
Wed Jan 27 00:33:47 2021 | q: 58/63 | q_time: 675.172880s | E: 172 | q_time/E: 3.925424s | shuffle time: 0.000256s
Wed Jan 27 00:45:54 2021 | q: 59/63 | q_time: 727.994907s | E: 174 | q_time/E: 4.183879s | shuffle time: 0.000252s
Wed Jan 27 00:55:39 2021 | q: 60/63 | q_time: 584.367750s | E: 177 | q_time/E: 3.301513s | shuffle time: 0.000252s
Wed Jan 27 02:56:40 2021 | q: 61/63 | q_time: 7261.422081s | E: 180 | q_time/E: 40.341234s | shuffle time: 0.000253s
Wed Jan 27 03:31:54 2021 | q: 62/63 | q_time: 2114.126515s | E: 183 | q_time/E: 11.552604s | shuffle time: 0.000250s
Wed Jan 27 06:29:01 2021 | q: 63/63 | q_time: 10626.565242s | E: 185 | q_time/E: 57.440893s | shuffle time: 0.000250s
