run: 10 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: BCC
Wed Jan 27 06:29:02 2021 | q: 0/63 | q_time: 0.271787s | E: 1 | q_time/E: 0.271787s | shuffle time: 0.000000s
Wed Jan 27 06:29:02 2021 | q: 1/63 | q_time: 0.270352s | E: 1 | q_time/E: 0.270352s | shuffle time: 0.000232s
Wed Jan 27 06:29:03 2021 | q: 2/63 | q_time: 0.555193s | E: 2 | q_time/E: 0.277596s | shuffle time: 0.000254s
Wed Jan 27 06:29:04 2021 | q: 3/63 | q_time: 0.840783s | E: 3 | q_time/E: 0.280261s | shuffle time: 0.000250s
Wed Jan 27 06:29:05 2021 | q: 4/63 | q_time: 1.430423s | E: 5 | q_time/E: 0.286085s | shuffle time: 0.000256s
Wed Jan 27 06:29:07 2021 | q: 5/63 | q_time: 2.024788s | E: 7 | q_time/E: 0.289255s | shuffle time: 0.000262s
Wed Jan 27 06:29:10 2021 | q: 6/63 | q_time: 2.590155s | E: 9 | q_time/E: 0.287795s | shuffle time: 0.000261s
Wed Jan 27 06:29:13 2021 | q: 7/63 | q_time: 3.172434s | E: 11 | q_time/E: 0.288403s | shuffle time: 0.000257s
Wed Jan 27 06:29:18 2021 | q: 8/63 | q_time: 4.587740s | E: 14 | q_time/E: 0.327696s | shuffle time: 0.000261s
Wed Jan 27 06:29:22 2021 | q: 9/63 | q_time: 4.796899s | E: 16 | q_time/E: 0.299806s | shuffle time: 0.000266s
Wed Jan 27 06:29:28 2021 | q: 10/63 | q_time: 5.390076s | E: 18 | q_time/E: 0.299449s | shuffle time: 0.000266s
Wed Jan 27 06:29:34 2021 | q: 11/63 | q_time: 6.745164s | E: 21 | q_time/E: 0.321198s | shuffle time: 0.000266s
Wed Jan 27 06:29:41 2021 | q: 12/63 | q_time: 6.900068s | E: 23 | q_time/E: 0.300003s | shuffle time: 0.000267s
Wed Jan 27 06:29:49 2021 | q: 13/63 | q_time: 7.800350s | E: 26 | q_time/E: 0.300013s | shuffle time: 0.000266s
Wed Jan 27 06:29:58 2021 | q: 14/63 | q_time: 8.904514s | E: 29 | q_time/E: 0.307052s | shuffle time: 0.000264s
Wed Jan 27 06:30:08 2021 | q: 15/63 | q_time: 10.012253s | E: 32 | q_time/E: 0.312883s | shuffle time: 0.000262s
Wed Jan 27 06:30:38 2021 | q: 16/63 | q_time: 29.994739s | E: 35 | q_time/E: 0.856993s | shuffle time: 0.000261s
Wed Jan 27 06:30:58 2021 | q: 17/63 | q_time: 19.861742s | E: 37 | q_time/E: 0.536804s | shuffle time: 0.000262s
Wed Jan 27 06:31:18 2021 | q: 18/63 | q_time: 19.739533s | E: 40 | q_time/E: 0.493488s | shuffle time: 0.000263s
Wed Jan 27 06:31:44 2021 | q: 19/63 | q_time: 26.467261s | E: 42 | q_time/E: 0.630173s | shuffle time: 0.000261s
Wed Jan 27 06:32:11 2021 | q: 20/63 | q_time: 27.137475s | E: 45 | q_time/E: 0.603055s | shuffle time: 0.000264s
Wed Jan 27 06:32:46 2021 | q: 21/63 | q_time: 34.545601s | E: 48 | q_time/E: 0.719700s | shuffle time: 0.000264s
Wed Jan 27 06:33:20 2021 | q: 22/63 | q_time: 34.663216s | E: 51 | q_time/E: 0.679671s | shuffle time: 0.000266s
Wed Jan 27 06:34:33 2021 | q: 23/63 | q_time: 72.712496s | E: 54 | q_time/E: 1.346528s | shuffle time: 0.000262s
Wed Jan 27 06:36:04 2021 | q: 24/63 | q_time: 90.403393s | E: 57 | q_time/E: 1.586024s | shuffle time: 0.000263s
