run: 1 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: BCC
Sun Jan 24 19:35:00 2021 | q: 0/63 | q_time: 0.271107s | E: 1 | q_time/E: 0.271107s | shuffle time: 0.000000s
Sun Jan 24 19:35:00 2021 | q: 1/63 | q_time: 0.270643s | E: 1 | q_time/E: 0.270643s | shuffle time: 0.000235s
Sun Jan 24 19:35:01 2021 | q: 2/63 | q_time: 0.557669s | E: 2 | q_time/E: 0.278834s | shuffle time: 0.000257s
Sun Jan 24 19:35:02 2021 | q: 3/63 | q_time: 0.848103s | E: 3 | q_time/E: 0.282701s | shuffle time: 0.000253s
Sun Jan 24 19:35:03 2021 | q: 4/63 | q_time: 1.429487s | E: 5 | q_time/E: 0.285897s | shuffle time: 0.000261s
Sun Jan 24 19:35:05 2021 | q: 5/63 | q_time: 2.020561s | E: 7 | q_time/E: 0.288652s | shuffle time: 0.000266s
Sun Jan 24 19:35:08 2021 | q: 6/63 | q_time: 2.619032s | E: 9 | q_time/E: 0.291004s | shuffle time: 0.000266s
Sun Jan 24 19:35:11 2021 | q: 7/63 | q_time: 3.211991s | E: 11 | q_time/E: 0.291999s | shuffle time: 0.000263s
Sun Jan 24 19:35:16 2021 | q: 8/63 | q_time: 4.510703s | E: 14 | q_time/E: 0.322193s | shuffle time: 0.000266s
Sun Jan 24 19:35:20 2021 | q: 9/63 | q_time: 4.720676s | E: 16 | q_time/E: 0.295042s | shuffle time: 0.000269s
Sun Jan 24 19:35:26 2021 | q: 10/63 | q_time: 5.356745s | E: 18 | q_time/E: 0.297597s | shuffle time: 0.000271s
Sun Jan 24 19:35:32 2021 | q: 11/63 | q_time: 6.346552s | E: 21 | q_time/E: 0.302217s | shuffle time: 0.000270s
Sun Jan 24 19:35:39 2021 | q: 12/63 | q_time: 6.974619s | E: 23 | q_time/E: 0.303244s | shuffle time: 0.000269s
Sun Jan 24 19:35:47 2021 | q: 13/63 | q_time: 8.480279s | E: 26 | q_time/E: 0.326165s | shuffle time: 0.000269s
Sun Jan 24 19:35:58 2021 | q: 14/63 | q_time: 10.043951s | E: 29 | q_time/E: 0.346343s | shuffle time: 0.000270s
Sun Jan 24 19:36:09 2021 | q: 15/63 | q_time: 10.978789s | E: 32 | q_time/E: 0.343087s | shuffle time: 0.000266s
Sun Jan 24 19:36:24 2021 | q: 16/63 | q_time: 15.840663s | E: 35 | q_time/E: 0.452590s | shuffle time: 0.000264s
Sun Jan 24 19:36:45 2021 | q: 17/63 | q_time: 20.200356s | E: 37 | q_time/E: 0.545956s | shuffle time: 0.000266s
Sun Jan 24 19:37:02 2021 | q: 18/63 | q_time: 17.343578s | E: 40 | q_time/E: 0.433589s | shuffle time: 0.000269s
Sun Jan 24 19:37:29 2021 | q: 19/63 | q_time: 27.590282s | E: 42 | q_time/E: 0.656911s | shuffle time: 0.000267s
Sun Jan 24 19:37:55 2021 | q: 20/63 | q_time: 25.198564s | E: 45 | q_time/E: 0.559968s | shuffle time: 0.000316s
Sun Jan 24 19:38:23 2021 | q: 21/63 | q_time: 28.213599s | E: 48 | q_time/E: 0.587783s | shuffle time: 0.000271s
Sun Jan 24 19:38:55 2021 | q: 22/63 | q_time: 32.548350s | E: 51 | q_time/E: 0.638203s | shuffle time: 0.000270s
Sun Jan 24 19:40:07 2021 | q: 23/63 | q_time: 71.716994s | E: 54 | q_time/E: 1.328092s | shuffle time: 0.000268s
Sun Jan 24 19:41:16 2021 | q: 24/63 | q_time: 68.467229s | E: 57 | q_time/E: 1.201179s | shuffle time: 0.000272s
Sun Jan 24 19:42:19 2021 | q: 25/63 | q_time: 63.370833s | E: 59 | q_time/E: 1.074082s | shuffle time: 0.000269s
