q q_max q_time hits q_time/hits k accept_counter reject_counter
0 63 0.272241 1 0.272241 1279874 1279873 0
1 63 0.270147 1 0.270147 1279874 1279873 0
2 63 0.555364 2 0.277682 2561983 1808043 753939
3 63 0.841671 3 0.280557 3842951 2543706 1299244
4 63 1.421786 5 0.284357 6419792 3630396 2789395
5 63 2.024979 7 0.289283 9063500 4904173 4159326
6 63 2.595569 9 0.288397 11579919 6102537 5477381
7 63 3.222378 11 0.292943 14371253 7509738 6861514
8 63 4.366160 14 0.311869 19434895 9570343 9864551
9 63 4.895968 16 0.305998 21590873 10699796 10891076
10 63 5.289503 18 0.293861 23248643 11545225 11703417
11 63 6.783300 21 0.323014 29890255 14593481 15296773
12 63 6.758358 23 0.293842 29653685 14461675 15192009
13 63 7.774503 26 0.299019 34219112 16414992 17804119
14 63 11.250200 29 0.387938 50211927 24089029 26122897
15 63 11.777647 32 0.368051 49196068 23258165 25937902
16 63 22.973500 35 0.656386 104633019 50221430 54411588
17 63 25.273391 37 0.683065 115056942 56582894 58474047
18 63 26.326835 40 0.658171 119957476 58221554 61735921
19 63 19.145279 42 0.455840 81469044 39429060 42039983
20 63 20.741253 45 0.460917 92227995 44647896 47580098
21 63 84.604617 48 1.762596 386958224 186623454 200334769
22 63 74.668504 51 1.464088 341078586 165273935 175804650
23 63 31.594379 54 0.585081 140333646 67685415 72648230
24 63 30.755324 57 0.539567 139785436 66965262 72820173
25 63 38.626274 59 0.654683 176350051 85631832 90718218
26 63 44.099035 62 0.711275 199385004 96853616 102531387
27 63 37.080265 65 0.570466 167768025 80789642 86978382
28 63 47.027275 69 0.681555 212483001 101357149 111125851
29 63 46.851465 72 0.650715 215360604 101821895 113538708
30 63 130.276026 75 1.737014 606737773 287791668 318946104
31 63 123.610570 79 1.564691 578650136 272164871 306485264
32 63 43.110615 82 0.525739 199515949 93988823 105527125
33 63 43.769091 85 0.514930 199953331 94169842 105783488
34 63 113.910725 89 1.279896 537912700 252958588 284954111
35 63 78.040319 92 0.848264 367023841 171453355 195570485
36 63 180.032092 96 1.875334 857954712 400096493 457858218
37 63 146.651486 99 1.481328 701789642 325560765 376228876
38 63 88.128952 102 0.864009 419701682 193480356 226221325
39 63 112.256122 105 1.069106 533466577 245313794 288152782
40 63 77.041934 109 0.706807 368495977 168174600 200321376
41 63 269.012799 112 2.401900 1303774232 596498079 707276152
42 63 90.424122 115 0.786297 432220555 196150360 236070194
43 63 223.052500 119 1.874391 1084084993 492308091 591776901
44 63 287.173834 122 2.353884 1408325358 635246164 773079193
45 63 190.138814 125 1.521111 930890179 416168386 514721792
46 63 144.914612 129 1.123369 710025383 314808896 395216486
47 63 316.515610 132 2.397846 1573802865 692289094 881513770
48 63 2431.471010 136 17.878463 12187582585 5316068456 6871514128
49 63 356.050731 139 2.561516 1804396294 780162419 1024233874
50 63 3318.281998 142 23.368183 16989892379 7311962281 9677930097
51 63 294.912173 145 2.033877 1502458310 639641475 862816834
52 63 162.190050 149 1.088524 823383598 345842349 477541248
53 63 949.265144 153 6.204347 4912439365 2042401358 2870038006
54 63 355.851593 157 2.266571 1845557368 757833807 1087723560
55 63 606.794399 161 3.768909 3165044450 1285823645 1879220804
56 63 548.875401 165 3.326518 2882625273 1157133133 1725492139
57 63 462.643799 168 2.753832 2388095220 945940017 1442155202
58 63 2469.782136 172 14.359198 12876458148 5037701912 7838756235
59 63 336.606487 174 1.934520 1753960313 677627576 1076332736
60 63 328.976057 177 1.858622 1727747949 661305891 1066442057
61 63 725.652066 180 4.031400 3828921539 1445992041 2382929497
62 63 942.913815 183 5.152535 5017725143 1872570834 3145154308
63 63 2308.720872 185 12.479572 12403855630 4585947921 7817907708
19876.9
