run: 5 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: BCC
Mon Jan 25 22:06:29 2021 | q: 0/63 | q_time: 0.273712s | E: 1 | q_time/E: 0.273712s | shuffle time: 0.000000s
Mon Jan 25 22:06:30 2021 | q: 1/63 | q_time: 0.272819s | E: 1 | q_time/E: 0.272819s | shuffle time: 0.000234s
Mon Jan 25 22:06:30 2021 | q: 2/63 | q_time: 0.560962s | E: 2 | q_time/E: 0.280481s | shuffle time: 0.000258s
Mon Jan 25 22:06:31 2021 | q: 3/63 | q_time: 0.851843s | E: 3 | q_time/E: 0.283948s | shuffle time: 0.000251s
Mon Jan 25 22:06:32 2021 | q: 4/63 | q_time: 1.440269s | E: 5 | q_time/E: 0.288054s | shuffle time: 0.000262s
Mon Jan 25 22:06:35 2021 | q: 5/63 | q_time: 2.096967s | E: 7 | q_time/E: 0.299567s | shuffle time: 0.000266s
Mon Jan 25 22:06:37 2021 | q: 6/63 | q_time: 2.668223s | E: 9 | q_time/E: 0.296469s | shuffle time: 0.000265s
Mon Jan 25 22:06:40 2021 | q: 7/63 | q_time: 3.256154s | E: 11 | q_time/E: 0.296014s | shuffle time: 0.000262s
Mon Jan 25 22:06:45 2021 | q: 8/63 | q_time: 4.473160s | E: 14 | q_time/E: 0.319511s | shuffle time: 0.000265s
Mon Jan 25 22:06:50 2021 | q: 9/63 | q_time: 5.063863s | E: 16 | q_time/E: 0.316491s | shuffle time: 0.000267s
Mon Jan 25 22:06:55 2021 | q: 10/63 | q_time: 5.452989s | E: 18 | q_time/E: 0.302944s | shuffle time: 0.000267s
Mon Jan 25 22:07:03 2021 | q: 11/63 | q_time: 7.970005s | E: 21 | q_time/E: 0.379524s | shuffle time: 0.000271s
Mon Jan 25 22:07:10 2021 | q: 12/63 | q_time: 6.862555s | E: 23 | q_time/E: 0.298372s | shuffle time: 0.000270s
Mon Jan 25 22:07:24 2021 | q: 13/63 | q_time: 13.832638s | E: 26 | q_time/E: 0.532025s | shuffle time: 0.000267s
Mon Jan 25 22:07:34 2021 | q: 14/63 | q_time: 9.896849s | E: 29 | q_time/E: 0.341271s | shuffle time: 0.000267s
Mon Jan 25 22:07:46 2021 | q: 15/63 | q_time: 11.588190s | E: 32 | q_time/E: 0.362131s | shuffle time: 0.000265s
Mon Jan 25 22:08:55 2021 | q: 16/63 | q_time: 69.605014s | E: 35 | q_time/E: 1.988715s | shuffle time: 0.000264s
Mon Jan 25 22:09:19 2021 | q: 17/63 | q_time: 23.529825s | E: 37 | q_time/E: 0.635941s | shuffle time: 0.000266s
Mon Jan 25 22:09:40 2021 | q: 18/63 | q_time: 20.974243s | E: 40 | q_time/E: 0.524356s | shuffle time: 0.000267s
