q q_max q_time hits q_time/hits k accept_counter reject_counter sampled_ratio/numer_working_threads
97 127 1008.687011 178 5.666781 45287176770 18849652091 26437524652 0
98 127 720.668787 180 4.003715 34543223095 14337169050 20206054018 0
99 127 617.162379 182 3.391002 31544908025 13024178365 18520729633 0
100 127 769.214539 184 4.180514 35358689927 14540837214 20817852686 0
101 127 613.317328 186 3.297405 30706365009 12570474474 18135890508 0
102 127 730.497082 188 3.885623 33734265138 13774803791 19959461320 0
103 127 650.246642 190 3.422351 33837608708 13728266461 20109342220 0
104 127 694.613773 192 3.617780 32392075807 13104331364 19287744416 0
105 127 733.784787 194 3.782396 32967803753 13261672752 19706130974 0
106 127 708.313490 196 3.613844 30592427757 12247111832 18345315898 0
107 127 733.208957 198 3.703076 32444002412 12941731103 19502271282 0
108 127 707.945601 200 3.539728 31497337388 12483563375 19013773986 0
109 127 715.893839 202 3.544029 36060866513 14240877419 21819989067 0
110 127 882.585681 204 4.326400 41221142804 16179822620 25041320157 0
111 127 1205.305196 206 5.850996 47938514927 18745512343 29193002557 0
112 127 2760.895091 208 13.273534 101007941085 39279021702 61728919356 0
113 127 1126.628798 210 5.364899 52851774877 20429884482 32421890368 0
114 127 920.894762 212 4.343843 39244678761 15101843360 24142835374 0
115 127 922.062953 214 4.308705 39315847690 15011202179 24304645484 0
116 127 715.692020 216 3.313389 35200071394 13378965472 21821105895 0
117 127 897.467397 218 4.116823 38021266005 14361097762 23660168216 0
118 127 770.670331 220 3.503047 38885549126 14599246424 24286302675 0
119 127 862.876944 222 3.886833 36616479517 13656462811 22960016679 0
120 127 857.960303 224 3.830180 36480685764 13511011525 22969674212 0
121 127 728.724645 226 3.224445 37917143109 13976440560 23940702522 0
122 127 860.881904 228 3.775798 37275530205 13659811303 23615718875 0
123 127 757.087436 230 3.291685 35222212268 12816767094 22405445147 0
124 127 842.075007 232 3.629634 38806460267 14047658027 24758802213 0
125 127 925.801254 234 3.956416 43128128650 15518102277 27610026346 0
126 127 933.984493 236 3.957561 46132978449 16508717702 29624260720 0
127 127 1094.068327 237 4.616322 47803935519 17062546826 30741388666 0
104678
