f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-10 0.885340 180000 6680 7015.834348
1+1E-0.187942 1+1E-10 0.147833 30000 1120 1169.305725
1+1E-0.546643 1+1E-10 0.204981 40000 1510 1559.074300
1+1E-0.875664 1+1E-10 0.199144 40000 1504 1559.074300
1+1E-1.190478 1+1E-10 0.346641 70000 2640 2728.380024
1+1E-1.498346 1+1E-10 0.246142 50000 1866 1948.842875
1+1E-1.802783 1+1E-10 0.345091 70000 2605 2728.380024
1+1E-2.105512 1+1E-10 0.643363 130000 4890 5066.991474
1+1E-2.407391 1+1E-10 0.939769 190000 7119 7405.602923
1+1E-2.708846 1+1E-10 1.338082 270000 10053 10523.751523
1+1E-3.010088 1+1E-10 1.676921 340000 12709 13252.131547
1+1E-3.311224 1+1E-10 3.198511 640000 23785 24945.188794
1+1E-3.612307 1+1E-10 4.183662 840000 31272 32740.560292
1+1E-3.913363 1+1E-10 4.973719 1000000 37112 38976.857491
1+1E-4.214407 1+1E-10 10.416521 2080000 77324 81071.863581
1+1E-4.515443 1+1E-10 15.469143 3090000 114471 120438.489647
1+1E-4.816477 1+1E-10 7.882832 1570000 58285 61193.666261
1+1E-5.117508 1+1E-10 20.727064 4140000 153719 161364.190012
1+1E-5.418539 1+1E-10 11.042374 2200000 81484 85749.086480
1+1E-5.719570 1+1E-10 18.385769 3690000 136677 143824.604141
1+1E-6.020600 1+1E-10 74.975996 15100000 559168 588550.548112
1+1E-6.321630 1+1E-10 22.492647 4530000 168011 176565.164434
1+1E-6.622660 1+1E-10 41.245681 8330000 308552 324677.222899
1+1E-6.923690 1+1E-10 13.398432 2700000 99995 105237.515225
1+1E-7.224720 1+1E-10 11.288834 2270000 84095 88477.466504
1+1E-7.525750 1+1E-10 49.713148 9950000 368596 387819.732034
1+1E-7.826780 1+1E-10 31.123573 6220000 230391 242436.053593
1+1E-8.127810 1+1E-10 22.927282 4600000 170436 179293.544458
1+1E-8.428840 1+1E-10 33.027450 6650000 246505 259196.102314
1+1E-8.729870 1+1E-10 55.973201 11290000 418372 440048.721072
1+1E-9.030900 1+1E-10 27.786772 5590000 207327 217880.633374
1+1E-9.331930 1+1E-10 28.250892 5700000 211129 222168.087698
1+1E-9.632960 1+1E-10 27.168468 5490000 203379 213982.947625
1+1E-9.933990 1+1E-10 38.745544 7840000 290346 305578.562728
581.371
