q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 8.044866 1 8.044866 63999938 63999937 0
1 31 8.566779 1 8.566779 63999938 63999937 0
2 31 18.704490 2 9.352245 128006298 90147448 37858849
3 31 41.018883 3 13.672961 192069617 126290400 65779216
4 31 71.174449 5 14.234890 322245199 180264844 141980354
5 31 86.003514 6 14.333919 384832736 226271872 158560863
6 31 117.438123 8 14.679765 516649170 283950659 232698510
7 31 132.823536 9 14.758171 580906105 330420319 250485785
8 31 161.795729 11 14.708703 711406360 387587435 323818924
9 31 191.428375 13 14.725260 846497764 445595910 400901853
10 31 209.999640 14 14.999974 911760749 496084926 415675822
11 31 242.400259 16 15.150016 1050607118 556583346 494023771
12 31 280.637060 18 15.590948 1215409293 631636837 583772455
13 31 294.388725 19 15.494143 1244698341 662479945 582218395
14 31 330.369900 21 15.731900 1393354856 727393598 665961257
15 31 356.047462 23 15.480324 1541572952 791050387 750522564
16 31 465.134406 25 18.605376 2041950217 1037442114 1004508102
17 31 403.373298 26 15.514358 1725797612 885683046 840114565
18 31 446.265203 28 15.938043 1868953306 942658148 926295157
19 31 513.338979 30 17.111299 2106637942 1046123991 1060513950
20 31 473.112485 32 14.784765 2245377093 1097002696 1148374396
21 31 452.098346 34 13.297010 2494956503 1201721498 1293235004
22 31 482.612743 36 13.405910 2592241874 1227506004 1364735869
23 31 467.512428 38 12.302959 2705159836 1261087195 1444072640
24 31 572.381293 40 14.309532 3038535672 1392456205 1646079466
25 31 638.333935 42 15.198427 2981712633 1341244615 1640468017
26 31 656.517332 44 14.920848 3075703309 1354815071 1720888237
27 31 726.462938 46 15.792673 3168084121 1363519743 1804564377
28 31 723.090460 48 15.064385 3310624207 1392981667 1917642539
29 31 744.567133 50 14.891343 3422215424 1400610565 2021604858
30 31 630.185914 52 12.118960 3531307850 1406029864 2125277985
31 31 633.108661 53 11.945446 3574950555 1403297957 2171652597
11578.9
