q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 1188.325778 1 1188.325778 6399999937 6399999936 0
1 31 1021.359634 1 1021.359634 6399999937 6399999936 0
2 31 1895.997807 2 947.998903 12800128545 9015118946 3785009598
3 31 3919.588533 3 1306.529511 19203714868 12622197092 6581517775
4 31 5806.368387 5 1161.273677 32185780378 17993533657 14192246720
5 31 6924.793186 6 1154.132198 38491123003 22632694778 15858428224
6 31 8439.033669 8 1054.879209 51615870148 28374132986 23241737161
7 31 9674.863363 9 1074.984818 57991829195 32971911272 25019917922
8 31 15139.719267 11 1376.338115 71356559622 38905124887 32451434734
9 31 15459.534116 13 1189.194932 84960462256 44731385531 40229076724
10 31 17626.355985 14 1259.025427 90788681232 49355620151 41433061080
11 31 17211.441815 16 1075.715113 104596567679 55410404930 49186162748
12 31 20522.674644 18 1140.148591 121509798482 63125182776 58384615705
13 31 21733.309261 19 1143.858382 124127039399 66036758699 58090280699
14 31 23649.693293 21 1126.175871 139037114926 72567577347 66469537578
15 31 26964.780604 23 1172.381765 155080177350 79596231196 75483946153
16 31 34191.693734 25 1367.667749 201743197293 102441434333 99301762959
17 31 31157.529881 26 1198.366534 173117741183 88835603078 84282138104
18 31 43785.807404 28 1563.778836 185664951599 93554402218 92110549380
19 31 39881.593829 30 1329.386461 209517566678 104010118163 105507448514
20 31 44210.102220 32 1381.565694 227676983793 111302810348 116374173444
21 31 46375.723160 34 1363.991858 246563702204 118701903959 127861798244
22 31 49575.503059 36 1377.097307 259557330315 123002208236 136555122078
23 31 50153.650711 38 1319.832913 266941099242 124449517866 142491581375
24 31 51877.519230 40 1296.937981 300318613739 137562840080 162755773658
25 31 53981.981649 42 1285.285277 298566659796 134270758098 164295901697
26 31 57265.914031 44 1301.498046 305586538976 134524338553 171062200422
27 31 57842.971190 46 1257.455895 319932889977 137876681818 182056208158
28 31 57550.664918 48 1198.972186 329946948145 138801408896 191145539248
29 31 62864.376182 50 1257.287524 341744566468 139963890532 201780675935
30 31 61511.303976 52 1182.909692 354661823352 141211759789 213450063562
31 31 63620.633587 53 1200.389313 358443541525 140629914617 217813626907
1.00302e+06
