f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-5 31.386505 1880000 18218 20119.560219
1+1E-0.187942 1+1E-5 3.472975 210000 2049 2247.397684
1+1E-0.546643 1+1E-5 2.988172 180000 1737 1926.421405
1+1E-0.875664 1+1E-5 6.060751 360000 3526 3852.681744
1+1E-1.190478 1+1E-5 6.394564 380000 3798 4066.719619
1+1E-1.498346 1+1E-5 7.423762 440000 4342 4708.833243
1+1E-1.802783 1+1E-5 4.039976 240000 2336 2568.454496
1+1E-2.105512 1+1E-5 11.516894 680000 6714 7277.287739
1+1E-2.407391 1+1E-5 20.670623 1110000 10752 11879.102044
1+1E-2.708846 1+1E-5 24.821385 1460000 14082 15624.764851
1+1E-3.010088 1+1E-5 36.301840 2110000 20752 22580.995778
1+1E-3.311224 1+1E-5 54.319848 2710000 26288 29002.132018
1+1E-3.612307 1+1E-5 80.289779 4710000 45905 50405.919485
1+1E-3.913363 1+1E-5 107.519965 6300000 60882 67421.930521
1+1E-4.214407 1+1E-5 205.445730 11350000 109444 121466.493876
1+1E-4.515443 1+1E-5 207.400451 11700000 112775 125212.156682
1+1E-4.816477 1+1E-5 289.289896 16990000 164428 181825.174533
1099.34
