f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-5 0.312911 440000 50 55.000000
1+1E-0.187942 1+1E-5 0.207218 300000 34 37.500000
1+1E-0.546643 1+1E-5 0.177391 310000 35 38.750000
1+1E-0.875664 1+1E-5 0.374154 560000 63 70.000000
1+1E-1.190478 1+1E-5 0.837720 1080000 122 135.000000
1+1E-1.498346 1+1E-5 1.038899 1490000 169 186.250000
1+1E-1.802783 1+1E-5 1.007802 1330000 150 166.250000
1+1E-2.105512 1+1E-5 1.990389 2090000 236 261.250000
1+1E-2.407391 1+1E-5 2.722631 2860000 322 357.500000
1+1E-2.708846 1+1E-5 3.832564 3930000 444 491.250000
1+1E-3.010088 1+1E-5 2.884810 3340000 377 417.500000
1+1E-3.311224 1+1E-5 3.022107 4980000 563 622.500000
1+1E-3.612307 1+1E-5 1.470375 2500000 283 312.500000
1+1E-3.913363 1+1E-5 3.596097 5630000 634 703.750000
1+1E-4.214407 1+1E-5 1.520402 2470000 278 308.750000
1+1E-4.515443 1+1E-5 4.270143 6970000 785 871.250000
1+1E-4.816477 1+1E-5 3.171563 5210000 587 651.250000
32.4378
