f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-5 0.254409 460000 52 57.500000
1+1E-0.187942 1+1E-5 0.197677 350000 40 43.750000
1+1E-0.546643 1+1E-5 0.315241 540000 61 67.500000
1+1E-0.875664 1+1E-5 0.345878 580000 66 72.500000
1+1E-1.190478 1+1E-5 0.460134 750000 86 93.750000
1+1E-1.498346 1+1E-5 0.842019 1320000 150 165.000000
1+1E-1.802783 1+1E-5 0.921677 1520000 171 190.000000
1+1E-2.105512 1+1E-5 1.162517 1910000 217 238.750000
1+1E-2.407391 1+1E-5 1.819325 2800000 315 350.000000
1+1E-2.708846 1+1E-5 1.491629 2460000 278 307.500000
1+1E-3.010088 1+1E-5 1.540652 2510000 283 313.750000
1+1E-3.311224 1+1E-5 1.542242 2540000 286 317.500000
1+1E-3.612307 1+1E-5 2.659236 4230000 476 528.750000
1+1E-3.913363 1+1E-5 2.151393 3480000 392 435.000000
1+1E-4.214407 1+1E-5 2.798167 4600000 518 575.000000
1+1E-4.515443 1+1E-5 2.931908 4920000 555 615.000000
1+1E-4.816477 1+1E-5 3.782092 6300000 710 787.500000
25.2169
