f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-5 0.014006 20000 3962 4000.000000
1+1E-0.187942 1+1E-5 0.007252 10000 1983 2000.000000
1+1E-0.546643 1+1E-5 0.007525 10000 1983 2000.000000
1+1E-0.875664 1+1E-5 0.015169 20000 3971 4000.000000
1+1E-1.190478 1+1E-5 0.017619 20000 3973 4000.000000
1+1E-1.498346 1+1E-5 0.023930 30000 5961 6000.000000
1+1E-1.802783 1+1E-5 0.038357 50000 9921 10000.000000
1+1E-2.105512 1+1E-5 0.038247 50000 9911 10000.000000
1+1E-2.407391 1+1E-5 0.045740 60000 11896 12000.000000
1+1E-2.708846 1+1E-5 0.045058 60000 11889 12000.000000
1+1E-3.010088 1+1E-5 0.075686 100000 19810 20000.000000
1+1E-3.311224 1+1E-5 0.136455 180000 35670 36000.000000
1+1E-3.612307 1+1E-5 0.276585 370000 73346 74000.000000
1+1E-3.913363 1+1E-5 0.248786 340000 67424 68000.000000
1+1E-4.214407 1+1E-5 0.468312 650000 128981 130000.000000
1+1E-4.515443 1+1E-5 0.380350 520000 103009 104000.000000
1+1E-4.816477 1+1E-5 1.198161 1680000 332986 336000.000000
3.03753
