q q_max q_time hits q_time/hits k 
1 31 7.670302 1 7.670302 63999937
2 31 12.819648 2 6.409824 128114305
3 31 24.629920 3 8.209973 192130945
4 31 37.086764 5 7.417353 320636993
5 31 48.755254 6 8.125876 385374977
6 31 58.377080 8 7.297135 512608193
7 31 66.394795 9 7.377199 576732865
8 31 91.040758 11 8.276433 705281473
9 31 106.367706 13 8.182131 836118273
10 31 120.896284 14 8.635449 897858753
11 31 138.892472 16 8.680779 1025725825
12 31 158.598632 18 8.811035 1155335745
13 31 165.214556 19 8.695503 1220315393
14 31 187.781731 21 8.941987 1347508225
15 31 200.343682 23 8.710595 1476646721
16 31 225.032749 25 9.001310 1608435905
17 31 228.803027 26 8.800116 1670988737
18 31 248.726069 28 8.883074 1803071617
19 31 282.751090 30 9.425036 1948998849
20 31 315.249540 32 9.851548 2054743425
21 31 329.357757 34 9.686993 2185792449
22 31 351.731893 36 9.770330 2316529025
23 31 366.460248 38 9.643691 2445511105
24 31 389.455147 40 9.736379 2587479169
25 31 410.720725 42 9.779065 2725206913
26 31 465.484708 44 10.579198 2869366785
27 31 430.711598 46 9.363296 2957761857
28 31 459.618776 48 9.575391 3088898177
29 31 469.921694 50 9.398434 3222256129
30 31 490.389539 52 9.430568 3350678017
31 31 487.845869 53 9.204639 3402982017
7377.13
