q q_max q_time hits q_time/hits k 
1 31 6.692392 1 6.692392 63999937
2 31 14.181891 2 7.090945 128052929
3 31 21.340128 3 7.113376 192283521
4 31 36.781678 5 7.356336 321184833
5 31 45.475919 6 7.579320 385446209
6 31 61.720963 8 7.715120 515121537
7 31 71.018094 9 7.890899 577316225
8 31 87.840007 11 7.985455 707662593
9 31 106.677878 13 8.205991 838414337
10 31 116.248947 14 8.303496 898911169
11 31 135.002445 16 8.437653 1027360449
12 31 153.829835 18 8.546102 1155017665
13 31 164.301193 19 8.647431 1224932033
14 31 183.003205 21 8.714438 1349328001
15 31 202.950269 23 8.823925 1488174977
16 31 222.906991 25 8.916280 1610243841
17 31 234.163471 26 9.006287 1667269185
18 31 256.067871 28 9.145281 1796736833
19 31 276.046547 30 9.201552 1923450305
20 31 297.593557 32 9.299799 2053222017
21 31 318.256665 34 9.360490 2188368321
22 31 343.968182 36 9.554672 2358849729
23 31 358.574651 38 9.436175 2441186177
24 31 378.449846 40 9.461246 2575682433
25 31 406.277750 42 9.673280 2703883713
26 31 430.528555 44 9.784740 2834810753
27 31 460.832906 46 10.018107 2968344961
28 31 482.010355 48 10.041882 3088792129
29 31 498.449721 50 9.968994 3216010881
30 31 520.430231 52 10.008274 3344595585
31 31 533.591960 53 10.067773 3408008833
7425.21
