q q_max q_time hits q_time/hits k 
1 31 6.700795 1 6.700795 63999937
2 31 13.665284 2 6.832642 128054977
3 31 21.236126 3 7.078709 192106753
4 31 36.580840 5 7.316168 320615233
5 31 45.436423 6 7.572737 384518721
6 31 61.162072 8 7.645259 512806785
7 31 70.602182 9 7.844687 577398401
8 31 87.668003 11 7.969818 704641537
9 31 105.741787 13 8.133984 834094209
10 31 115.425779 14 8.244699 898087297
11 31 134.300592 16 8.393787 1026296577
12 31 153.076621 18 8.504257 1155225345
13 31 163.212270 19 8.590119 1218703681
14 31 182.300619 21 8.680982 1348945537
15 31 202.751022 23 8.815262 1490050497
16 31 220.771788 25 8.830872 1603757633
17 31 233.907182 26 8.996430 1668448321
18 31 254.646308 28 9.094511 1799116865
19 31 274.586297 30 9.152877 1924842561
20 31 296.194430 32 9.256076 2064846081
21 31 315.215035 34 9.271030 2181689857
22 31 337.607522 36 9.377987 2312676737
23 31 358.911886 38 9.445050 2476205569
24 31 373.103813 40 9.327595 2571593345
25 31 416.793504 42 9.923655 2717201665
26 31 423.821270 44 9.632302 2825942657
27 31 454.037503 46 9.870380 2958100929
28 31 473.673693 48 9.868202 3092095745
29 31 484.266692 50 9.685334 3216410241
30 31 509.100864 52 9.790401 3336076993
31 31 526.498275 53 9.933930 3410084801
7353
