q q_max q_time hits q_time/hits k 
1 31 6.714851 1 6.714851 63999937
2 31 13.862605 2 6.931302 128023105
3 31 21.496580 3 7.165527 192305857
4 31 37.033420 5 7.406684 320573121
5 31 45.457473 6 7.576245 384750465
6 31 61.322027 8 7.665253 513514689
7 31 71.072287 9 7.896921 576505089
8 31 87.791523 11 7.981048 705898241
9 31 106.674712 13 8.205747 837985729
10 31 116.077056 14 8.291218 897885313
11 31 134.762540 16 8.422659 1026642049
12 31 153.610135 18 8.533896 1154737921
13 31 164.158959 19 8.639945 1220182273
14 31 183.423881 21 8.734471 1350823489
15 31 202.687493 23 8.812500 1475899457
16 31 222.720428 25 8.908817 1613464769
17 31 234.554231 26 9.021317 1667967617
18 31 255.924931 28 9.140176 1799375105
19 31 276.122813 30 9.204094 1932224705
20 31 297.170691 32 9.286584 2055577921
21 31 318.991836 34 9.382113 2183512513
22 31 339.941888 36 9.442830 2311369025
23 31 359.984430 38 9.473274 2451024321
24 31 375.373004 40 9.384325 2569262785
25 31 403.729933 42 9.612617 2695609345
26 31 429.757578 44 9.767218 2822926401
27 31 445.549019 46 9.685848 2959123393
28 31 480.390043 48 10.008126 3092810817
29 31 495.768206 50 9.915364 3216342977
30 31 527.716773 52 10.148399 3369873665
31 31 529.046389 53 9.982007 3406350913
7398.89
