q q_max q_time hits q_time/hits 
1 31 5.780878 1 5.780878
2 31 12.519767 2 6.259883
3 31 18.870708 3 6.290236
4 31 32.529204 5 6.505841
5 31 40.417387 6 6.736231
6 31 54.804691 8 6.850586
7 31 62.927710 9 6.991968
8 31 77.843166 11 7.076651
9 31 94.982651 13 7.306358
10 31 102.985113 14 7.356079
11 31 119.493195 16 7.468325
12 31 136.150547 18 7.563919
13 31 144.752906 19 7.618574
14 31 162.004404 21 7.714495
15 31 179.144504 23 7.788891
16 31 195.577486 25 7.823099
17 31 206.817368 26 7.954514
18 31 223.896116 28 7.996290
19 31 241.489850 30 8.049662
20 31 262.933772 32 8.216680
21 31 278.999573 34 8.205870
22 31 300.131381 36 8.336983
23 31 314.392922 38 8.273498
24 31 331.109079 40 8.277727
25 31 350.281129 42 8.340027
26 31 382.446022 44 8.691955
27 31 394.269854 46 8.571084
28 31 410.701864 48 8.556289
29 31 428.680783 50 8.573616
30 31 450.189392 52 8.657488
31 31 453.642498 53 8.559292
6470.77
