q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.138035 1 0.138035 6398430 6398415 0 1
1 31 0.100100 1 0.100100 6398430 6398415 0 1
2 31 0.231202 2 0.115601 12807385 9303079 3504291 0
3 31 0.245758 3 0.081919 19226052 13445693 5780344 0
4 31 0.648504 5 0.129701 32235988 19707715 12528258 0
5 31 0.655317 6 0.109219 38589473 25076600 13512858 0
6 31 0.901431 8 0.112679 51934930 31489536 20445379 0
7 31 1.021366 10 0.102137 64970419 37992079 26978325 0
8 31 1.368418 12 0.114035 81380622 46603958 34776649 0
9 31 1.454937 14 0.103924 91931817 51929440 40002362 0
10 31 1.353842 16 0.084615 104949946 58567856 46382075 0
11 31 1.454620 18 0.080812 118830931 65823892 53007024 0
12 31 1.815675 21 0.086461 139927802 73986186 65941601 0
13 31 2.042217 23 0.088792 150938064 79852511 71085538 0
14 31 2.460911 26 0.094650 172005090 88268189 83736886 0
15 31 2.601942 28 0.092926 184513856 94853450 89660391 0
16 31 2.682306 31 0.086526 206731232 103642238 103088979 0
17 31 3.027896 34 0.089056 235803403 116321025 119482363 0
18 31 3.319361 36 0.092204 239732139 118150786 121581338 0
19 31 3.375429 38 0.088827 255848301 126173932 129674354 0
20 31 3.687078 41 0.089929 275107839 132459880 142647944 0
21 31 4.073095 43 0.094723 283804931 136513602 147291314 0
22 31 4.518406 46 0.098226 312790724 147438354 165352355 0
23 31 3.968696 49 0.080994 330503787 152116467 178387305 0
24 31 5.110862 52 0.098286 357190522 161054697 196135810 0
25 31 5.227479 55 0.095045 375460158 165701730 209758413 0
26 31 4.948122 58 0.085312 388418659 167336031 221082613 0
27 31 5.153771 61 0.084488 409717894 172535540 237182339 0
28 31 5.918935 65 0.091061 451728087 183515397 268212675 0
29 31 5.981505 67 0.089276 452138727 180667451 271471261 0
30 31 5.721359 69 0.082918 467097541 183567068 283530458 0
31 31 6.228295 71 0.087722 479012633 184072863 294939755 0
91.5257
