f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-6 0.720496 150000 5595 5846.528624
1+1E-0.187942 1+1E-6 0.192742 40000 1511 1559.074300
1+1E-0.546643 1+1E-6 0.241477 50000 1856 1948.842875
1+1E-0.875664 1+1E-6 0.144576 30000 1115 1169.305725
1+1E-1.190478 1+1E-6 0.191822 40000 1486 1559.074300
1+1E-1.498346 1+1E-6 0.383845 80000 3012 3118.148599
1+1E-1.802783 1+1E-6 0.479533 100000 3708 3897.685749
1+1E-2.105512 1+1E-6 0.623174 130000 4815 5066.991474
1+1E-2.407391 1+1E-6 1.151418 240000 8966 9354.445798
1+1E-2.708846 1+1E-6 1.151106 240000 8923 9354.445798
1+1E-3.010088 1+1E-6 1.246490 260000 9664 10133.982948
1+1E-3.311224 1+1E-6 2.879134 600000 22227 23386.114495
1+1E-3.612307 1+1E-6 3.455562 720000 26745 28063.337393
1+1E-3.913363 1+1E-6 4.511022 940000 34959 36638.246041
1+1E-4.214407 1+1E-6 6.632070 1710000 63372 66650.426309
1+1E-4.515443 1+1E-6 6.872806 1870000 69247 72886.723508
1+1E-4.816477 1+1E-6 15.065749 3640000 134795 141875.761267
1+1E-5.117508 1+1E-6 18.739747 3730000 138201 145383.678441
1+1E-5.418539 1+1E-6 17.177576 3420000 126805 133300.852619
1+1E-5.719570 1+1E-6 12.100772 2410000 89426 93934.226553
93.9614
