L: 4 | f_final: 1+1E-8 | flatness: 90 | dim: 2D | lattie: SS
Sat May 29 09:48:02 2021 | f: 1+1E0.235094/1+1E-8 | sweeps: 10000 | flat time: 0.005677s
Sat May 29 09:48:02 2021 | f: 1+1E-0.187942/1+1E-8 | sweeps: 10000 | flat time: 0.005848s
Sat May 29 09:48:02 2021 | f: 1+1E-0.546643/1+1E-8 | sweeps: 10000 | flat time: 0.006034s
Sat May 29 09:48:02 2021 | f: 1+1E-0.875664/1+1E-8 | sweeps: 10000 | flat time: 0.005998s
Sat May 29 09:48:02 2021 | f: 1+1E-1.190478/1+1E-8 | sweeps: 20000 | flat time: 0.011916s
Sat May 29 09:48:02 2021 | f: 1+1E-1.498346/1+1E-8 | sweeps: 30000 | flat time: 0.017758s
Sat May 29 09:48:02 2021 | f: 1+1E-1.802783/1+1E-8 | sweeps: 20000 | flat time: 0.011769s
Sat May 29 09:48:02 2021 | f: 1+1E-2.105512/1+1E-8 | sweeps: 30000 | flat time: 0.017753s
Sat May 29 09:48:02 2021 | f: 1+1E-2.407391/1+1E-8 | sweeps: 30000 | flat time: 0.017692s
Sat May 29 09:48:02 2021 | f: 1+1E-2.708846/1+1E-8 | sweeps: 50000 | flat time: 0.029364s
Sat May 29 09:48:02 2021 | f: 1+1E-3.010088/1+1E-8 | sweeps: 60000 | flat time: 0.035143s
Sat May 29 09:48:02 2021 | f: 1+1E-3.311224/1+1E-8 | sweeps: 70000 | flat time: 0.041002s
Sat May 29 09:48:02 2021 | f: 1+1E-3.612307/1+1E-8 | sweeps: 80000 | flat time: 0.046790s
Sat May 29 09:48:02 2021 | f: 1+1E-3.913363/1+1E-8 | sweeps: 60000 | flat time: 0.035143s
Sat May 29 09:48:02 2021 | f: 1+1E-4.214407/1+1E-8 | sweeps: 60000 | flat time: 0.035068s
Sat May 29 09:48:02 2021 | f: 1+1E-4.515443/1+1E-8 | sweeps: 50000 | flat time: 0.029353s
Sat May 29 09:48:02 2021 | f: 1+1E-4.816477/1+1E-8 | sweeps: 50000 | flat time: 0.029374s
Sat May 29 09:48:02 2021 | f: 1+1E-5.117508/1+1E-8 | sweeps: 100000 | flat time: 0.058415s
Sat May 29 09:48:02 2021 | f: 1+1E-5.418539/1+1E-8 | sweeps: 30000 | flat time: 0.017500s
Sat May 29 09:48:02 2021 | f: 1+1E-5.719570/1+1E-8 | sweeps: 80000 | flat time: 0.046939s
Sat May 29 09:48:02 2021 | f: 1+1E-6.020600/1+1E-8 | sweeps: 70000 | flat time: 0.040964s
Sat May 29 09:48:03 2021 | f: 1+1E-6.321630/1+1E-8 | sweeps: 70000 | flat time: 0.040931s
Sat May 29 09:48:03 2021 | f: 1+1E-6.622660/1+1E-8 | sweeps: 50000 | flat time: 0.029200s
Sat May 29 09:48:03 2021 | f: 1+1E-6.923690/1+1E-8 | sweeps: 60000 | flat time: 0.035270s
Sat May 29 09:48:03 2021 | f: 1+1E-7.224720/1+1E-8 | sweeps: 40000 | flat time: 0.023575s
Sat May 29 09:48:03 2021 | f: 1+1E-7.525750/1+1E-8 | sweeps: 40000 | flat time: 0.023541s
Sat May 29 09:48:03 2021 | f: 1+1E-7.826780/1+1E-8 | sweeps: 100000 | flat time: 0.059090s
