L: 4 | f_final: 1+1E-8 | flatness: 90 | dim: 2D | lattie: SS
Sat May 29 09:47:27 2021 | f: 1+1E0.235094/1+1E-8 | sweeps: 10000 | flat time: 0.005982s
Sat May 29 09:47:27 2021 | f: 1+1E-0.187942/1+1E-8 | sweeps: 10000 | flat time: 0.005975s
Sat May 29 09:47:27 2021 | f: 1+1E-0.546643/1+1E-8 | sweeps: 10000 | flat time: 0.006085s
Sat May 29 09:47:27 2021 | f: 1+1E-0.875664/1+1E-8 | sweeps: 10000 | flat time: 0.006154s
Sat May 29 09:47:27 2021 | f: 1+1E-1.190478/1+1E-8 | sweeps: 10000 | flat time: 0.006069s
Sat May 29 09:47:27 2021 | f: 1+1E-1.498346/1+1E-8 | sweeps: 20000 | flat time: 0.012250s
Sat May 29 09:47:27 2021 | f: 1+1E-1.802783/1+1E-8 | sweeps: 30000 | flat time: 0.018442s
Sat May 29 09:47:27 2021 | f: 1+1E-2.105512/1+1E-8 | sweeps: 30000 | flat time: 0.018256s
Sat May 29 09:47:27 2021 | f: 1+1E-2.407391/1+1E-8 | sweeps: 50000 | flat time: 0.030041s
Sat May 29 09:47:27 2021 | f: 1+1E-2.708846/1+1E-8 | sweeps: 40000 | flat time: 0.024377s
Sat May 29 09:47:27 2021 | f: 1+1E-3.010088/1+1E-8 | sweeps: 60000 | flat time: 0.036570s
Sat May 29 09:47:27 2021 | f: 1+1E-3.311224/1+1E-8 | sweeps: 30000 | flat time: 0.017555s
Sat May 29 09:47:27 2021 | f: 1+1E-3.612307/1+1E-8 | sweeps: 60000 | flat time: 0.034411s
Sat May 29 09:47:27 2021 | f: 1+1E-3.913363/1+1E-8 | sweeps: 70000 | flat time: 0.040220s
Sat May 29 09:47:27 2021 | f: 1+1E-4.214407/1+1E-8 | sweeps: 80000 | flat time: 0.046520s
Sat May 29 09:47:27 2021 | f: 1+1E-4.515443/1+1E-8 | sweeps: 100000 | flat time: 0.060732s
Sat May 29 09:47:27 2021 | f: 1+1E-4.816477/1+1E-8 | sweeps: 100000 | flat time: 0.058475s
Sat May 29 09:47:27 2021 | f: 1+1E-5.117508/1+1E-8 | sweeps: 70000 | flat time: 0.040119s
Sat May 29 09:47:27 2021 | f: 1+1E-5.418539/1+1E-8 | sweeps: 40000 | flat time: 0.023142s
Sat May 29 09:47:28 2021 | f: 1+1E-5.719570/1+1E-8 | sweeps: 100000 | flat time: 0.058223s
Sat May 29 09:47:28 2021 | f: 1+1E-6.020600/1+1E-8 | sweeps: 50000 | flat time: 0.029043s
Sat May 29 09:47:28 2021 | f: 1+1E-6.321630/1+1E-8 | sweeps: 60000 | flat time: 0.034696s
Sat May 29 09:47:28 2021 | f: 1+1E-6.622660/1+1E-8 | sweeps: 80000 | flat time: 0.046576s
Sat May 29 09:47:28 2021 | f: 1+1E-6.923690/1+1E-8 | sweeps: 40000 | flat time: 0.023189s
Sat May 29 09:47:28 2021 | f: 1+1E-7.224720/1+1E-8 | sweeps: 60000 | flat time: 0.035037s
Sat May 29 09:47:28 2021 | f: 1+1E-7.525750/1+1E-8 | sweeps: 100000 | flat time: 0.058371s
Sat May 29 09:47:28 2021 | f: 1+1E-7.826780/1+1E-8 | sweeps: 50000 | flat time: 0.029078s
