L: 4 | f_final: 1+1E-8 | flatness: 90 | dim: 2D | lattie: SS
Sat May 29 09:47:35 2021 | f: 1+1E0.235094/1+1E-8 | sweeps: 10000 | flat time: 0.005507s
Sat May 29 09:47:35 2021 | f: 1+1E-0.187942/1+1E-8 | sweeps: 10000 | flat time: 0.005646s
Sat May 29 09:47:35 2021 | f: 1+1E-0.546643/1+1E-8 | sweeps: 10000 | flat time: 0.005764s
Sat May 29 09:47:35 2021 | f: 1+1E-0.875664/1+1E-8 | sweeps: 10000 | flat time: 0.005764s
Sat May 29 09:47:35 2021 | f: 1+1E-1.190478/1+1E-8 | sweeps: 10000 | flat time: 0.005751s
Sat May 29 09:47:35 2021 | f: 1+1E-1.498346/1+1E-8 | sweeps: 20000 | flat time: 0.011485s
Sat May 29 09:47:35 2021 | f: 1+1E-1.802783/1+1E-8 | sweeps: 30000 | flat time: 0.017187s
Sat May 29 09:47:35 2021 | f: 1+1E-2.105512/1+1E-8 | sweeps: 40000 | flat time: 0.022866s
Sat May 29 09:47:35 2021 | f: 1+1E-2.407391/1+1E-8 | sweeps: 40000 | flat time: 0.022665s
Sat May 29 09:47:35 2021 | f: 1+1E-2.708846/1+1E-8 | sweeps: 50000 | flat time: 0.028390s
Sat May 29 09:47:35 2021 | f: 1+1E-3.010088/1+1E-8 | sweeps: 60000 | flat time: 0.034026s
Sat May 29 09:47:35 2021 | f: 1+1E-3.311224/1+1E-8 | sweeps: 70000 | flat time: 0.039742s
Sat May 29 09:47:35 2021 | f: 1+1E-3.612307/1+1E-8 | sweeps: 70000 | flat time: 0.039706s
Sat May 29 09:47:35 2021 | f: 1+1E-3.913363/1+1E-8 | sweeps: 70000 | flat time: 0.039969s
Sat May 29 09:47:35 2021 | f: 1+1E-4.214407/1+1E-8 | sweeps: 90000 | flat time: 0.051152s
Sat May 29 09:47:35 2021 | f: 1+1E-4.515443/1+1E-8 | sweeps: 60000 | flat time: 0.034083s
Sat May 29 09:47:35 2021 | f: 1+1E-4.816477/1+1E-8 | sweeps: 100000 | flat time: 0.056949s
Sat May 29 09:47:35 2021 | f: 1+1E-5.117508/1+1E-8 | sweeps: 150000 | flat time: 0.085602s
Sat May 29 09:47:35 2021 | f: 1+1E-5.418539/1+1E-8 | sweeps: 40000 | flat time: 0.022773s
Sat May 29 09:47:36 2021 | f: 1+1E-5.719570/1+1E-8 | sweeps: 60000 | flat time: 0.034262s
Sat May 29 09:47:36 2021 | f: 1+1E-6.020600/1+1E-8 | sweeps: 60000 | flat time: 0.034178s
Sat May 29 09:47:36 2021 | f: 1+1E-6.321630/1+1E-8 | sweeps: 60000 | flat time: 0.034332s
Sat May 29 09:47:36 2021 | f: 1+1E-6.622660/1+1E-8 | sweeps: 50000 | flat time: 0.028656s
Sat May 29 09:47:36 2021 | f: 1+1E-6.923690/1+1E-8 | sweeps: 110000 | flat time: 0.063021s
Sat May 29 09:47:36 2021 | f: 1+1E-7.224720/1+1E-8 | sweeps: 70000 | flat time: 0.039959s
Sat May 29 09:47:36 2021 | f: 1+1E-7.525750/1+1E-8 | sweeps: 80000 | flat time: 0.045535s
Sat May 29 09:47:36 2021 | f: 1+1E-7.826780/1+1E-8 | sweeps: 60000 | flat time: 0.034163s
