L: 4 | f_final: 1+1E-8 | flatness: 90 | dim: 2D | lattie: SS
Sat May 29 09:46:57 2021 | f: 1+1E0.235094/1+1E-8 | sweeps: 10000 | flat time: 0.014341s
Sat May 29 09:46:57 2021 | f: 1+1E-0.187942/1+1E-8 | sweeps: 10000 | flat time: 0.011842s
Sat May 29 09:46:57 2021 | f: 1+1E-0.546643/1+1E-8 | sweeps: 10000 | flat time: 0.010361s
Sat May 29 09:46:57 2021 | f: 1+1E-0.875664/1+1E-8 | sweeps: 10000 | flat time: 0.009213s
Sat May 29 09:46:57 2021 | f: 1+1E-1.190478/1+1E-8 | sweeps: 10000 | flat time: 0.008210s
Sat May 29 09:46:57 2021 | f: 1+1E-1.498346/1+1E-8 | sweeps: 20000 | flat time: 0.014559s
Sat May 29 09:46:57 2021 | f: 1+1E-1.802783/1+1E-8 | sweeps: 20000 | flat time: 0.012932s
Sat May 29 09:46:57 2021 | f: 1+1E-2.105512/1+1E-8 | sweeps: 30000 | flat time: 0.017874s
Sat May 29 09:46:57 2021 | f: 1+1E-2.407391/1+1E-8 | sweeps: 60000 | flat time: 0.034374s
Sat May 29 09:46:57 2021 | f: 1+1E-2.708846/1+1E-8 | sweeps: 50000 | flat time: 0.028503s
Sat May 29 09:46:57 2021 | f: 1+1E-3.010088/1+1E-8 | sweeps: 70000 | flat time: 0.039803s
Sat May 29 09:46:57 2021 | f: 1+1E-3.311224/1+1E-8 | sweeps: 50000 | flat time: 0.028522s
Sat May 29 09:46:57 2021 | f: 1+1E-3.612307/1+1E-8 | sweeps: 50000 | flat time: 0.028427s
Sat May 29 09:46:57 2021 | f: 1+1E-3.913363/1+1E-8 | sweeps: 130000 | flat time: 0.074111s
Sat May 29 09:46:57 2021 | f: 1+1E-4.214407/1+1E-8 | sweeps: 50000 | flat time: 0.028218s
Sat May 29 09:46:57 2021 | f: 1+1E-4.515443/1+1E-8 | sweeps: 50000 | flat time: 0.028447s
Sat May 29 09:46:58 2021 | f: 1+1E-4.816477/1+1E-8 | sweeps: 90000 | flat time: 0.051043s
Sat May 29 09:46:58 2021 | f: 1+1E-5.117508/1+1E-8 | sweeps: 40000 | flat time: 0.022773s
Sat May 29 09:46:58 2021 | f: 1+1E-5.418539/1+1E-8 | sweeps: 190000 | flat time: 0.107806s
Sat May 29 09:46:58 2021 | f: 1+1E-5.719570/1+1E-8 | sweeps: 80000 | flat time: 0.045270s
Sat May 29 09:46:58 2021 | f: 1+1E-6.020600/1+1E-8 | sweeps: 50000 | flat time: 0.028258s
Sat May 29 09:46:58 2021 | f: 1+1E-6.321630/1+1E-8 | sweeps: 100000 | flat time: 0.056556s
Sat May 29 09:46:58 2021 | f: 1+1E-6.622660/1+1E-8 | sweeps: 100000 | flat time: 0.056745s
Sat May 29 09:46:58 2021 | f: 1+1E-6.923690/1+1E-8 | sweeps: 90000 | flat time: 0.050879s
Sat May 29 09:46:58 2021 | f: 1+1E-7.224720/1+1E-8 | sweeps: 60000 | flat time: 0.033920s
Sat May 29 09:46:58 2021 | f: 1+1E-7.525750/1+1E-8 | sweeps: 70000 | flat time: 0.039704s
Sat May 29 09:46:58 2021 | f: 1+1E-7.826780/1+1E-8 | sweeps: 90000 | flat time: 0.051055s
