L: 4 | f_final: 1+1E-8 | flatness: 90 | dim: 2D | lattie: SS
Sat May 29 09:47:00 2021 | f: 1+1E0.235094/1+1E-8 | sweeps: 10000 | flat time: 0.005532s
Sat May 29 09:47:00 2021 | f: 1+1E-0.187942/1+1E-8 | sweeps: 10000 | flat time: 0.005633s
Sat May 29 09:47:00 2021 | f: 1+1E-0.546643/1+1E-8 | sweeps: 10000 | flat time: 0.005794s
Sat May 29 09:47:00 2021 | f: 1+1E-0.875664/1+1E-8 | sweeps: 10000 | flat time: 0.005784s
Sat May 29 09:47:00 2021 | f: 1+1E-1.190478/1+1E-8 | sweeps: 20000 | flat time: 0.011627s
Sat May 29 09:47:00 2021 | f: 1+1E-1.498346/1+1E-8 | sweeps: 20000 | flat time: 0.011435s
Sat May 29 09:47:00 2021 | f: 1+1E-1.802783/1+1E-8 | sweeps: 20000 | flat time: 0.011430s
Sat May 29 09:47:00 2021 | f: 1+1E-2.105512/1+1E-8 | sweeps: 30000 | flat time: 0.017100s
Sat May 29 09:47:00 2021 | f: 1+1E-2.407391/1+1E-8 | sweeps: 40000 | flat time: 0.022730s
Sat May 29 09:47:00 2021 | f: 1+1E-2.708846/1+1E-8 | sweeps: 40000 | flat time: 0.022773s
Sat May 29 09:47:00 2021 | f: 1+1E-3.010088/1+1E-8 | sweeps: 90000 | flat time: 0.051347s
Sat May 29 09:47:00 2021 | f: 1+1E-3.311224/1+1E-8 | sweeps: 60000 | flat time: 0.034186s
Sat May 29 09:47:00 2021 | f: 1+1E-3.612307/1+1E-8 | sweeps: 60000 | flat time: 0.034098s
Sat May 29 09:47:00 2021 | f: 1+1E-3.913363/1+1E-8 | sweeps: 60000 | flat time: 0.034026s
Sat May 29 09:47:00 2021 | f: 1+1E-4.214407/1+1E-8 | sweeps: 70000 | flat time: 0.039910s
Sat May 29 09:47:00 2021 | f: 1+1E-4.515443/1+1E-8 | sweeps: 180000 | flat time: 0.102290s
Sat May 29 09:47:00 2021 | f: 1+1E-4.816477/1+1E-8 | sweeps: 60000 | flat time: 0.034143s
Sat May 29 09:47:00 2021 | f: 1+1E-5.117508/1+1E-8 | sweeps: 40000 | flat time: 0.022852s
Sat May 29 09:47:00 2021 | f: 1+1E-5.418539/1+1E-8 | sweeps: 50000 | flat time: 0.028493s
Sat May 29 09:47:00 2021 | f: 1+1E-5.719570/1+1E-8 | sweeps: 60000 | flat time: 0.034164s
Sat May 29 09:47:00 2021 | f: 1+1E-6.020600/1+1E-8 | sweeps: 40000 | flat time: 0.022702s
Sat May 29 09:47:00 2021 | f: 1+1E-6.321630/1+1E-8 | sweeps: 90000 | flat time: 0.051597s
Sat May 29 09:47:00 2021 | f: 1+1E-6.622660/1+1E-8 | sweeps: 120000 | flat time: 0.068848s
Sat May 29 09:47:00 2021 | f: 1+1E-6.923690/1+1E-8 | sweeps: 70000 | flat time: 0.040056s
Sat May 29 09:47:00 2021 | f: 1+1E-7.224720/1+1E-8 | sweeps: 30000 | flat time: 0.017564s
Sat May 29 09:47:00 2021 | f: 1+1E-7.525750/1+1E-8 | sweeps: 100000 | flat time: 0.056856s
Sat May 29 09:47:00 2021 | f: 1+1E-7.826780/1+1E-8 | sweeps: 60000 | flat time: 0.034130s
