L: 4 | f_final: 1+1E-8 | flatness: 90 | dim: 2D | lattie: SS
Sat May 29 09:48:11 2021 | f: 1+1E0.235094/1+1E-8 | sweeps: 10000 | flat time: 0.005709s
Sat May 29 09:48:11 2021 | f: 1+1E-0.187942/1+1E-8 | sweeps: 10000 | flat time: 0.005853s
Sat May 29 09:48:11 2021 | f: 1+1E-0.546643/1+1E-8 | sweeps: 10000 | flat time: 0.006034s
Sat May 29 09:48:11 2021 | f: 1+1E-0.875664/1+1E-8 | sweeps: 10000 | flat time: 0.006080s
Sat May 29 09:48:11 2021 | f: 1+1E-1.190478/1+1E-8 | sweeps: 10000 | flat time: 0.005979s
Sat May 29 09:48:11 2021 | f: 1+1E-1.498346/1+1E-8 | sweeps: 20000 | flat time: 0.011870s
Sat May 29 09:48:11 2021 | f: 1+1E-1.802783/1+1E-8 | sweeps: 20000 | flat time: 0.012117s
Sat May 29 09:48:11 2021 | f: 1+1E-2.105512/1+1E-8 | sweeps: 30000 | flat time: 0.017783s
Sat May 29 09:48:11 2021 | f: 1+1E-2.407391/1+1E-8 | sweeps: 40000 | flat time: 0.024065s
Sat May 29 09:48:11 2021 | f: 1+1E-2.708846/1+1E-8 | sweeps: 50000 | flat time: 0.059095s
Sat May 29 09:48:11 2021 | f: 1+1E-3.010088/1+1E-8 | sweeps: 40000 | flat time: 0.023471s
Sat May 29 09:48:11 2021 | f: 1+1E-3.311224/1+1E-8 | sweeps: 50000 | flat time: 0.029324s
Sat May 29 09:48:11 2021 | f: 1+1E-3.612307/1+1E-8 | sweeps: 90000 | flat time: 0.052185s
Sat May 29 09:48:11 2021 | f: 1+1E-3.913363/1+1E-8 | sweeps: 60000 | flat time: 0.034661s
Sat May 29 09:48:11 2021 | f: 1+1E-4.214407/1+1E-8 | sweeps: 50000 | flat time: 0.029012s
Sat May 29 09:48:11 2021 | f: 1+1E-4.515443/1+1E-8 | sweeps: 40000 | flat time: 0.023183s
Sat May 29 09:48:11 2021 | f: 1+1E-4.816477/1+1E-8 | sweeps: 90000 | flat time: 0.052123s
Sat May 29 09:48:11 2021 | f: 1+1E-5.117508/1+1E-8 | sweeps: 50000 | flat time: 0.028848s
Sat May 29 09:48:11 2021 | f: 1+1E-5.418539/1+1E-8 | sweeps: 50000 | flat time: 0.028940s
Sat May 29 09:48:11 2021 | f: 1+1E-5.719570/1+1E-8 | sweeps: 90000 | flat time: 0.052076s
Sat May 29 09:48:11 2021 | f: 1+1E-6.020600/1+1E-8 | sweeps: 100000 | flat time: 0.057948s
Sat May 29 09:48:11 2021 | f: 1+1E-6.321630/1+1E-8 | sweeps: 40000 | flat time: 0.023076s
Sat May 29 09:48:11 2021 | f: 1+1E-6.622660/1+1E-8 | sweeps: 50000 | flat time: 0.028939s
Sat May 29 09:48:11 2021 | f: 1+1E-6.923690/1+1E-8 | sweeps: 70000 | flat time: 0.040479s
Sat May 29 09:48:11 2021 | f: 1+1E-7.224720/1+1E-8 | sweeps: 60000 | flat time: 0.034735s
Sat May 29 09:48:11 2021 | f: 1+1E-7.525750/1+1E-8 | sweeps: 90000 | flat time: 0.052199s
Sat May 29 09:48:11 2021 | f: 1+1E-7.826780/1+1E-8 | sweeps: 70000 | flat time: 0.040694s
