L: 4 | f_final: 1+1E-8 | flatness: 90 | dim: 2D | lattie: SS
Sat May 29 09:47:44 2021 | f: 1+1E0.235094/1+1E-8 | sweeps: 10000 | flat time: 0.005571s
Sat May 29 09:47:44 2021 | f: 1+1E-0.187942/1+1E-8 | sweeps: 10000 | flat time: 0.005673s
Sat May 29 09:47:44 2021 | f: 1+1E-0.546643/1+1E-8 | sweeps: 10000 | flat time: 0.005824s
Sat May 29 09:47:44 2021 | f: 1+1E-0.875664/1+1E-8 | sweeps: 10000 | flat time: 0.005804s
Sat May 29 09:47:44 2021 | f: 1+1E-1.190478/1+1E-8 | sweeps: 20000 | flat time: 0.011532s
Sat May 29 09:47:44 2021 | f: 1+1E-1.498346/1+1E-8 | sweeps: 20000 | flat time: 0.011505s
Sat May 29 09:47:44 2021 | f: 1+1E-1.802783/1+1E-8 | sweeps: 20000 | flat time: 0.011432s
Sat May 29 09:47:44 2021 | f: 1+1E-2.105512/1+1E-8 | sweeps: 40000 | flat time: 0.022895s
Sat May 29 09:47:44 2021 | f: 1+1E-2.407391/1+1E-8 | sweeps: 40000 | flat time: 0.023028s
Sat May 29 09:47:44 2021 | f: 1+1E-2.708846/1+1E-8 | sweeps: 50000 | flat time: 0.028524s
Sat May 29 09:47:44 2021 | f: 1+1E-3.010088/1+1E-8 | sweeps: 90000 | flat time: 0.051122s
Sat May 29 09:47:44 2021 | f: 1+1E-3.311224/1+1E-8 | sweeps: 50000 | flat time: 0.028479s
Sat May 29 09:47:44 2021 | f: 1+1E-3.612307/1+1E-8 | sweeps: 50000 | flat time: 0.028425s
Sat May 29 09:47:44 2021 | f: 1+1E-3.913363/1+1E-8 | sweeps: 90000 | flat time: 0.051373s
Sat May 29 09:47:44 2021 | f: 1+1E-4.214407/1+1E-8 | sweeps: 60000 | flat time: 0.034164s
Sat May 29 09:47:44 2021 | f: 1+1E-4.515443/1+1E-8 | sweeps: 40000 | flat time: 0.023728s
Sat May 29 09:47:44 2021 | f: 1+1E-4.816477/1+1E-8 | sweeps: 50000 | flat time: 0.029427s
Sat May 29 09:47:44 2021 | f: 1+1E-5.117508/1+1E-8 | sweeps: 70000 | flat time: 0.039841s
Sat May 29 09:47:44 2021 | f: 1+1E-5.418539/1+1E-8 | sweeps: 80000 | flat time: 0.045537s
Sat May 29 09:47:44 2021 | f: 1+1E-5.719570/1+1E-8 | sweeps: 70000 | flat time: 0.039775s
Sat May 29 09:47:44 2021 | f: 1+1E-6.020600/1+1E-8 | sweeps: 50000 | flat time: 0.028428s
Sat May 29 09:47:44 2021 | f: 1+1E-6.321630/1+1E-8 | sweeps: 50000 | flat time: 0.028523s
Sat May 29 09:47:44 2021 | f: 1+1E-6.622660/1+1E-8 | sweeps: 60000 | flat time: 0.034103s
Sat May 29 09:47:44 2021 | f: 1+1E-6.923690/1+1E-8 | sweeps: 50000 | flat time: 0.028451s
Sat May 29 09:47:44 2021 | f: 1+1E-7.224720/1+1E-8 | sweeps: 50000 | flat time: 0.028471s
Sat May 29 09:47:44 2021 | f: 1+1E-7.525750/1+1E-8 | sweeps: 100000 | flat time: 0.056762s
Sat May 29 09:47:45 2021 | f: 1+1E-7.826780/1+1E-8 | sweeps: 60000 | flat time: 0.033973s
