run: 53 | L: 4 | f_final: 1+1E-7 | flatness: 80 | dim: 2D | lattice: SS
Fri Jun 18 15:11:46 2021 | f: 1+1E0.235094/1+1E-7 | sweeps: 10000 | flat time: 0.005299s
Fri Jun 18 15:11:46 2021 | f: 1+1E-0.187942/1+1E-7 | sweeps: 10000 | flat time: 0.005442s
Fri Jun 18 15:11:46 2021 | f: 1+1E-0.546643/1+1E-7 | sweeps: 10000 | flat time: 0.005660s
Fri Jun 18 15:11:47 2021 | f: 1+1E-0.875664/1+1E-7 | sweeps: 10000 | flat time: 0.005867s
Fri Jun 18 15:11:47 2021 | f: 1+1E-1.190478/1+1E-7 | sweeps: 10000 | flat time: 0.005874s
Fri Jun 18 15:11:47 2021 | f: 1+1E-1.498346/1+1E-7 | sweeps: 10000 | flat time: 0.005830s
Fri Jun 18 15:11:47 2021 | f: 1+1E-1.802783/1+1E-7 | sweeps: 10000 | flat time: 0.005802s
Fri Jun 18 15:11:47 2021 | f: 1+1E-2.105512/1+1E-7 | sweeps: 10000 | flat time: 0.005777s
Fri Jun 18 15:11:47 2021 | f: 1+1E-2.407391/1+1E-7 | sweeps: 10000 | flat time: 0.005748s
Fri Jun 18 15:11:47 2021 | f: 1+1E-2.708846/1+1E-7 | sweeps: 10000 | flat time: 0.005731s
Fri Jun 18 15:11:47 2021 | f: 1+1E-3.010088/1+1E-7 | sweeps: 10000 | flat time: 0.005703s
Fri Jun 18 15:11:47 2021 | f: 1+1E-3.311224/1+1E-7 | sweeps: 20000 | flat time: 0.011552s
Fri Jun 18 15:11:47 2021 | f: 1+1E-3.612307/1+1E-7 | sweeps: 10000 | flat time: 0.005876s
Fri Jun 18 15:11:47 2021 | f: 1+1E-3.913363/1+1E-7 | sweeps: 10000 | flat time: 0.005710s
Fri Jun 18 15:11:47 2021 | f: 1+1E-4.214407/1+1E-7 | sweeps: 20000 | flat time: 0.011630s
Fri Jun 18 15:11:47 2021 | f: 1+1E-4.515443/1+1E-7 | sweeps: 20000 | flat time: 0.012057s
Fri Jun 18 15:11:47 2021 | f: 1+1E-4.816477/1+1E-7 | sweeps: 10000 | flat time: 0.005977s
Fri Jun 18 15:11:47 2021 | f: 1+1E-5.117508/1+1E-7 | sweeps: 10000 | flat time: 0.005856s
Fri Jun 18 15:11:47 2021 | f: 1+1E-5.418539/1+1E-7 | sweeps: 20000 | flat time: 0.011703s
Fri Jun 18 15:11:47 2021 | f: 1+1E-5.719570/1+1E-7 | sweeps: 10000 | flat time: 0.005863s
Fri Jun 18 15:11:47 2021 | f: 1+1E-6.020600/1+1E-7 | sweeps: 10000 | flat time: 0.005900s
Fri Jun 18 15:11:47 2021 | f: 1+1E-6.321630/1+1E-7 | sweeps: 10000 | flat time: 0.005822s
Fri Jun 18 15:11:47 2021 | f: 1+1E-6.622660/1+1E-7 | sweeps: 10000 | flat time: 0.005898s
Fri Jun 18 15:11:47 2021 | f: 1+1E-6.923690/1+1E-7 | sweeps: 20000 | flat time: 0.011857s
