run: 30 | L: 4 | f_final: 1+1E-7 | flatness: 80 | dim: 2D | lattice: SS
Fri Jun 18 15:11:43 2021 | f: 1+1E0.235094/1+1E-7 | sweeps: 10000 | flat time: 0.005347s
Fri Jun 18 15:11:43 2021 | f: 1+1E-0.187942/1+1E-7 | sweeps: 10000 | flat time: 0.005491s
Fri Jun 18 15:11:43 2021 | f: 1+1E-0.546643/1+1E-7 | sweeps: 10000 | flat time: 0.005954s
Fri Jun 18 15:11:43 2021 | f: 1+1E-0.875664/1+1E-7 | sweeps: 10000 | flat time: 0.006026s
Fri Jun 18 15:11:43 2021 | f: 1+1E-1.190478/1+1E-7 | sweeps: 10000 | flat time: 0.006106s
Fri Jun 18 15:11:43 2021 | f: 1+1E-1.498346/1+1E-7 | sweeps: 10000 | flat time: 0.006107s
Fri Jun 18 15:11:43 2021 | f: 1+1E-1.802783/1+1E-7 | sweeps: 10000 | flat time: 0.006121s
Fri Jun 18 15:11:43 2021 | f: 1+1E-2.105512/1+1E-7 | sweeps: 10000 | flat time: 0.005916s
Fri Jun 18 15:11:43 2021 | f: 1+1E-2.407391/1+1E-7 | sweeps: 10000 | flat time: 0.005828s
Fri Jun 18 15:11:43 2021 | f: 1+1E-2.708846/1+1E-7 | sweeps: 10000 | flat time: 0.005809s
Fri Jun 18 15:11:43 2021 | f: 1+1E-3.010088/1+1E-7 | sweeps: 20000 | flat time: 0.011707s
Fri Jun 18 15:11:43 2021 | f: 1+1E-3.311224/1+1E-7 | sweeps: 10000 | flat time: 0.005819s
Fri Jun 18 15:11:43 2021 | f: 1+1E-3.612307/1+1E-7 | sweeps: 10000 | flat time: 0.005840s
Fri Jun 18 15:11:43 2021 | f: 1+1E-3.913363/1+1E-7 | sweeps: 10000 | flat time: 0.005883s
Fri Jun 18 15:11:43 2021 | f: 1+1E-4.214407/1+1E-7 | sweeps: 10000 | flat time: 0.005890s
Fri Jun 18 15:11:43 2021 | f: 1+1E-4.515443/1+1E-7 | sweeps: 10000 | flat time: 0.005879s
Fri Jun 18 15:11:43 2021 | f: 1+1E-4.816477/1+1E-7 | sweeps: 10000 | flat time: 0.005835s
Fri Jun 18 15:11:43 2021 | f: 1+1E-5.117508/1+1E-7 | sweeps: 10000 | flat time: 0.005843s
Fri Jun 18 15:11:43 2021 | f: 1+1E-5.418539/1+1E-7 | sweeps: 20000 | flat time: 0.011680s
Fri Jun 18 15:11:43 2021 | f: 1+1E-5.719570/1+1E-7 | sweeps: 20000 | flat time: 0.011452s
Fri Jun 18 15:11:43 2021 | f: 1+1E-6.020600/1+1E-7 | sweeps: 20000 | flat time: 0.011459s
Fri Jun 18 15:11:43 2021 | f: 1+1E-6.321630/1+1E-7 | sweeps: 10000 | flat time: 0.005710s
Fri Jun 18 15:11:43 2021 | f: 1+1E-6.622660/1+1E-7 | sweeps: 10000 | flat time: 0.005717s
Fri Jun 18 15:11:43 2021 | f: 1+1E-6.923690/1+1E-7 | sweeps: 10000 | flat time: 0.005697s
