q q_max q_time hits q_time/hits k 
1 31 0.006206 1 0.006206 63937
2 31 0.015085 2 0.007542 128961
3 31 0.020654 3 0.006885 197377
4 31 0.038085 5 0.007617 353601
5 31 0.046581 6 0.007763 417281
6 31 0.060905 8 0.007613 539009
7 31 0.068930 9 0.007659 594241
8 31 0.099774 11 0.009070 864449
9 31 0.108115 13 0.008317 903681
10 31 0.118468 14 0.008462 972097
11 31 0.137465 16 0.008592 1116993
12 31 0.190755 18 0.010597 1546689
13 31 0.162567 19 0.008556 1283841
14 31 0.208271 21 0.009918 1643713
15 31 0.217468 23 0.009455 1679425
16 31 0.256732 25 0.010269 2002689
17 31 0.238310 26 0.009166 1802753
18 31 0.305519 28 0.010911 2296001
19 31 0.286981 30 0.009566 2130113
20 31 0.327824 32 0.010245 2438529
21 31 0.462952 34 0.013616 3478977
22 31 0.345276 36 0.009591 2479297
23 31 0.576796 38 0.015179 4233409
24 31 0.549147 40 0.013729 4123713
25 31 0.421137 42 0.010027 3084993
26 31 0.462343 44 0.010508 3231297
27 31 0.539293 46 0.011724 3784065
28 31 0.487840 48 0.010163 3491457
29 31 0.538386 50 0.010768 3681025
30 31 0.587740 52 0.011303 4035585
31 31 0.901454 53 0.017009 6336833
8.78723
