q q_max q_time hits q_time/hits k 
1 31 0.012847 1 0.012847 63937
2 31 0.014998 2 0.007499 135041
3 31 0.021065 3 0.007022 201153
4 31 0.035731 5 0.007146 329217
5 31 0.045071 6 0.007512 404161
6 31 0.060640 8 0.007580 535745
7 31 0.070768 9 0.007863 613313
8 31 0.094583 11 0.008598 758785
9 31 0.109663 13 0.008436 915073
10 31 0.124030 14 0.008859 1023617
11 31 0.137753 16 0.008610 1113153
12 31 0.156924 18 0.008718 1253313
13 31 0.160682 19 0.008457 1266881
14 31 0.208167 21 0.009913 1650817
15 31 0.212156 23 0.009224 1647361
16 31 0.232134 25 0.009285 1777857
17 31 0.231376 26 0.008899 1746497
18 31 0.276596 28 0.009878 2064769
19 31 0.282694 30 0.009423 2096001
20 31 0.300661 32 0.009396 2207937
21 31 0.325290 34 0.009567 2359681
22 31 0.378242 36 0.010507 2764737
23 31 0.419108 38 0.011029 3072001
24 31 0.540871 40 0.013522 4013569
25 31 0.651148 42 0.015504 4520897
26 31 0.676688 44 0.015379 4705537
27 31 0.451126 46 0.009807 3196545
28 31 0.693699 48 0.014452 4763393
29 31 0.533642 50 0.010673 3682049
30 31 0.547552 52 0.010530 3776129
31 31 0.637429 53 0.012027 4373441
8.64352
