q q_max q_time hits q_time/hits k 
1 31 0.013723 1 0.013723 63937
2 31 0.013979 2 0.006990 131265
3 31 0.020404 3 0.006801 198273
4 31 0.036216 5 0.007243 341121
5 31 0.043446 6 0.007241 398017
6 31 0.062942 8 0.007868 568897
7 31 0.071960 9 0.007996 636865
8 31 0.090353 11 0.008214 793665
9 31 0.134310 13 0.010332 1170369
10 31 0.112631 14 0.008045 941569
11 31 0.133592 16 0.008349 1109441
12 31 0.161331 18 0.008963 1329025
13 31 0.164702 19 0.008669 1332993
14 31 0.176963 21 0.008427 1422849
15 31 0.206300 23 0.008970 1643265
16 31 0.253222 25 0.010129 2012353
17 31 0.232161 26 0.008929 1792321
18 31 0.274525 28 0.009804 2114433
19 31 0.274193 30 0.009140 2096321
20 31 0.388588 32 0.012143 2957121
21 31 0.411108 34 0.012091 3141505
22 31 0.327504 36 0.009097 2420417
23 31 0.532869 38 0.014023 4017025
24 31 0.392075 40 0.009802 2829761
25 31 0.427798 42 0.010186 3155393
26 31 0.434278 44 0.009870 3108609
27 31 0.475244 46 0.010331 3274689
28 31 0.483199 48 0.010067 3359937
29 31 0.481765 50 0.009635 3448641
30 31 0.542553 52 0.010434 3780545
31 31 0.526230 53 0.009929 3709441
7.90035
