q q_max q_time hits q_time/hits k 
1 31 0.012795 1 0.012795 63937
2 31 0.013404 2 0.006702 129089
3 31 0.020518 3 0.006839 194177
4 31 0.037409 5 0.007482 342145
5 31 0.048397 6 0.008066 437377
6 31 0.067873 8 0.008484 604545
7 31 0.072006 9 0.008001 624641
8 31 0.087744 11 0.007977 748545
9 31 0.123883 13 0.009529 1045633
10 31 0.115367 14 0.008240 946241
11 31 0.138165 16 0.008635 1121601
12 31 0.157699 18 0.008761 1256577
13 31 0.169376 19 0.008915 1343041
14 31 0.191508 21 0.009119 1497473
15 31 0.226458 23 0.009846 1756609
16 31 0.230512 25 0.009220 1780545
17 31 0.237027 26 0.009116 1797825
18 31 0.369919 28 0.013211 2845121
19 31 0.279063 30 0.009302 2056705
20 31 0.358674 32 0.011209 2664577
21 31 0.322907 34 0.009497 2366273
22 31 0.353279 36 0.009813 2556417
23 31 0.369309 38 0.009719 2663105
24 31 0.396889 40 0.009922 2895745
25 31 0.529982 42 0.012619 3729409
26 31 0.600236 44 0.013642 4224961
27 31 0.475773 46 0.010343 3212417
28 31 0.482009 48 0.010042 3366785
29 31 0.560837 50 0.011217 3801665
30 31 0.529279 52 0.010178 3708609
31 31 0.569718 53 0.010749 3928769
8.1482
