q q_max q_time hits q_time/hits k 
1 31 0.013551 1 0.013551 63937
2 31 0.014143 2 0.007071 132353
3 31 0.020785 3 0.006928 194753
4 31 0.036798 5 0.007360 335937
5 31 0.047616 6 0.007936 427137
6 31 0.063708 8 0.007964 558913
7 31 0.072481 9 0.008053 623041
8 31 0.089175 11 0.008107 758849
9 31 0.109795 13 0.008446 916737
10 31 0.117072 14 0.008362 962881
11 31 0.142355 16 0.008897 1154945
12 31 0.158144 18 0.008786 1264193
13 31 0.170323 19 0.008964 1348225
14 31 0.202025 21 0.009620 1583553
15 31 0.259161 23 0.011268 2070017
16 31 0.231570 25 0.009263 1785601
17 31 0.243049 26 0.009348 1844993
18 31 0.266872 28 0.009531 1987521
19 31 0.281623 30 0.009387 2091009
20 31 0.437036 32 0.013657 3253057
21 31 0.325821 34 0.009583 2380929
22 31 0.347440 36 0.009651 2515393
23 31 0.505472 38 0.013302 3686337
24 31 0.422873 40 0.010572 3080257
25 31 0.420892 42 0.010021 3008065
26 31 0.456496 44 0.010375 3235137
27 31 0.484729 46 0.010538 3391873
28 31 0.524993 48 0.010937 3629825
29 31 0.556202 50 0.011124 3815425
30 31 0.622863 52 0.011978 4394561
31 31 0.544244 53 0.010269 3828865
8.18948
