f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-8 35.049607 2060000 20078 22045.901091
1+1E-0.187942 1+1E-8 2.852465 170000 1640 1819.474058
1+1E-0.546643 1+1E-8 4.079497 240000 2376 2568.454496
1+1E-0.875664 1+1E-8 6.696598 390000 4008 4173.738556
1+1E-1.190478 1+1E-8 3.229095 190000 1847 2033.444816
1+1E-1.498346 1+1E-8 6.525329 380000 3837 4066.719619
1+1E-1.802783 1+1E-8 5.152696 300000 2897 3210.568120
1+1E-2.105512 1+1E-8 12.097908 700000 7102 7491.325613
1+1E-2.407391 1+1E-8 15.558954 900000 8848 9631.704360
1+1E-2.708846 1+1E-8 23.750778 1370000 13315 14661.594415
1+1E-3.010088 1+1E-8 33.478979 1930000 18952 20654.654906
1+1E-3.311224 1+1E-8 46.529814 2680000 25928 28681.075206
1+1E-3.612307 1+1E-8 65.123486 3750000 36406 40132.101501
1+1E-3.913363 1+1E-8 101.864162 5860000 56834 62713.097279
1+1E-4.214407 1+1E-8 159.232522 9160000 88445 98029.346599
1+1E-4.515443 1+1E-8 306.771299 17610000 170966 188460.348648
1+1E-4.816477 1+1E-8 328.678487 19020000 184561 203550.018812
1+1E-5.117508 1+1E-8 427.078088 24760000 238538 264978.888842
1+1E-5.418539 1+1E-8 538.860924 31180000 300811 333685.046612
1+1E-5.719570 1+1E-8 510.213263 29380000 283537 314421.637891
1+1E-6.020600 1+1E-8 7462.634138 390440000 3823721 4178447.389323
1+1E-6.321630 1+1E-8 1391.803101 73990000 713185 791833.117345
1+1E-6.622660 1+1E-8 502.286863 25620000 247089 274182.517453
1+1E-6.923690 1+1E-8 1155.912228 61610000 593513 659343.672923
1+1E-7.224720 1+1E-8 1210.528521 65150000 628856 697228.376740
1+1E-7.525750 1+1E-8 738.566138 40870000 393922 437386.396890
1+1E-7.826780 1+1E-8 943.644988 52110000 502240 557675.682455
16038.2
