run: 986 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: SC
Mon Jan 25 17:17:47 2021 | q: 0/31 | q_time: 0.056787s | E: 1 | q_time/E: 0.056787s | shuffle time: 0.000000s
Mon Jan 25 17:17:47 2021 | q: 1/31 | q_time: 0.051792s | E: 1 | q_time/E: 0.051792s | shuffle time: 0.000207s
Mon Jan 25 17:17:47 2021 | q: 2/31 | q_time: 0.113448s | E: 2 | q_time/E: 0.056724s | shuffle time: 0.000235s
Mon Jan 25 17:17:48 2021 | q: 3/31 | q_time: 0.177162s | E: 3 | q_time/E: 0.059054s | shuffle time: 0.000227s
Mon Jan 25 17:17:48 2021 | q: 4/31 | q_time: 0.306298s | E: 5 | q_time/E: 0.061260s | shuffle time: 0.000236s
Mon Jan 25 17:17:48 2021 | q: 5/31 | q_time: 0.376028s | E: 6 | q_time/E: 0.062671s | shuffle time: 0.000244s
Mon Jan 25 17:17:49 2021 | q: 6/31 | q_time: 0.515385s | E: 8 | q_time/E: 0.064423s | shuffle time: 0.000243s
Mon Jan 25 17:17:49 2021 | q: 7/31 | q_time: 0.669364s | E: 10 | q_time/E: 0.066936s | shuffle time: 0.000237s
Mon Jan 25 17:17:50 2021 | q: 8/31 | q_time: 0.779459s | E: 12 | q_time/E: 0.064955s | shuffle time: 0.000244s
Mon Jan 25 17:17:51 2021 | q: 9/31 | q_time: 0.927971s | E: 14 | q_time/E: 0.066284s | shuffle time: 0.000246s
Mon Jan 25 17:17:52 2021 | q: 10/31 | q_time: 1.076904s | E: 16 | q_time/E: 0.067306s | shuffle time: 0.000247s
Mon Jan 25 17:17:53 2021 | q: 11/31 | q_time: 1.220023s | E: 18 | q_time/E: 0.067779s | shuffle time: 0.000252s
Mon Jan 25 17:17:55 2021 | q: 12/31 | q_time: 1.407355s | E: 21 | q_time/E: 0.067017s | shuffle time: 0.000252s
Mon Jan 25 17:17:56 2021 | q: 13/31 | q_time: 1.503995s | E: 23 | q_time/E: 0.065391s | shuffle time: 0.000250s
Mon Jan 25 17:17:58 2021 | q: 14/31 | q_time: 1.774991s | E: 26 | q_time/E: 0.068269s | shuffle time: 0.000253s
Mon Jan 25 17:18:00 2021 | q: 15/31 | q_time: 1.954869s | E: 28 | q_time/E: 0.069817s | shuffle time: 0.000247s
Mon Jan 25 17:18:02 2021 | q: 16/31 | q_time: 2.331958s | E: 31 | q_time/E: 0.075224s | shuffle time: 0.000246s
Mon Jan 25 17:18:05 2021 | q: 17/31 | q_time: 2.489940s | E: 34 | q_time/E: 0.073234s | shuffle time: 0.000249s
Mon Jan 25 17:18:07 2021 | q: 18/31 | q_time: 2.416059s | E: 36 | q_time/E: 0.067113s | shuffle time: 0.000251s
Mon Jan 25 17:18:10 2021 | q: 19/31 | q_time: 2.549885s | E: 38 | q_time/E: 0.067102s | shuffle time: 0.000250s
Mon Jan 25 17:18:13 2021 | q: 20/31 | q_time: 2.914274s | E: 41 | q_time/E: 0.071080s | shuffle time: 0.000252s
Mon Jan 25 17:18:16 2021 | q: 21/31 | q_time: 2.955234s | E: 43 | q_time/E: 0.068726s | shuffle time: 0.000251s
Mon Jan 25 17:18:19 2021 | q: 22/31 | q_time: 3.181830s | E: 46 | q_time/E: 0.069170s | shuffle time: 0.000255s
Mon Jan 25 17:18:22 2021 | q: 23/31 | q_time: 3.519234s | E: 49 | q_time/E: 0.071821s | shuffle time: 0.000255s
Mon Jan 25 17:18:26 2021 | q: 24/31 | q_time: 3.588335s | E: 52 | q_time/E: 0.069006s | shuffle time: 0.000254s
Mon Jan 25 17:18:30 2021 | q: 25/31 | q_time: 3.639122s | E: 55 | q_time/E: 0.066166s | shuffle time: 0.000255s
Mon Jan 25 17:18:33 2021 | q: 26/31 | q_time: 3.833874s | E: 58 | q_time/E: 0.066101s | shuffle time: 0.000251s
Mon Jan 25 17:18:38 2021 | q: 27/31 | q_time: 4.049471s | E: 61 | q_time/E: 0.066385s | shuffle time: 0.000250s
Mon Jan 25 17:18:42 2021 | q: 28/31 | q_time: 4.790388s | E: 65 | q_time/E: 0.073698s | shuffle time: 0.000248s
Mon Jan 25 17:18:47 2021 | q: 29/31 | q_time: 4.589986s | E: 67 | q_time/E: 0.068507s | shuffle time: 0.000247s
Mon Jan 25 17:18:52 2021 | q: 30/31 | q_time: 4.929270s | E: 69 | q_time/E: 0.071439s | shuffle time: 0.000247s
Mon Jan 25 17:18:56 2021 | q: 31/31 | q_time: 4.661338s | E: 71 | q_time/E: 0.065653s | shuffle time: 0.000244s
