q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.053720 1 0.053720 639938 639937 0
1 31 0.051705 1 0.051705 639938 639937 0
2 31 0.113431 2 0.056715 1281116 927310 353805
3 31 0.176688 3 0.058896 1920370 1344460 575909
4 31 0.305668 5 0.061134 3234185 1981505 1252679
5 31 0.377586 6 0.062931 3864278 2516603 1347674
6 31 0.506665 8 0.063333 5141871 3120284 2021586
7 31 0.669481 10 0.066948 6685444 3923567 2761876
8 31 0.837016 12 0.069751 8264013 4755603 3508409
9 31 0.955222 14 0.068230 9340217 5274011 4066205
10 31 1.067925 16 0.066745 10261177 5700344 4560832
11 31 1.243291 18 0.069072 11968306 6642934 5325371
12 31 1.396367 21 0.066494 13894638 7359611 6535026
13 31 1.553144 23 0.067528 15397935 8172078 7225856
14 31 1.812647 26 0.069717 18018129 9307696 8710432
15 31 1.893887 28 0.067639 18769416 9669540 9099875
16 31 2.012071 31 0.064906 19990144 9962493 10027650
17 31 2.480856 34 0.072966 24623537 12201939 12421597
18 31 2.435314 36 0.067648 23771549 11709674 12061874
19 31 2.541806 38 0.066890 24643911 12124885 12519025
20 31 2.948383 41 0.071912 28792230 13950365 14841864
21 31 2.964244 43 0.068936 28512236 13773961 14738274
22 31 3.274060 46 0.071175 31875135 15056922 16818212
23 31 3.480268 49 0.071026 33990314 15703289 18287024
24 31 7.474992 52 0.143750 34753889 15753831 19000057
25 31 3.714947 55 0.067544 36744510 16172348 20572161
26 31 3.863570 58 0.066613 38344869 16521593 21823275
27 31 4.195033 61 0.068771 42134373 17748693 24385679
28 31 4.939254 65 0.075989 47883789 19393800 28489988
29 31 4.728696 67 0.070578 46295157 18631085 27664071
30 31 4.611766 69 0.066837 45686649 17934592 27752056
31 31 4.645117 71 0.065424 46395791 17809748 28586042
73.325
